Title,Designer 1,Designer 2,Designer 3,Designer 4,Designer 5
Monster Café,Garrett J. Donner,Michael S. Steer,Roland L. Tesh,N/A,N/A
Who Knows Where?,N/A,N/A,N/A,N/A,N/A
Fox's Party,Bernhard Weber,N/A,N/A,N/A,N/A
Lagerstätten,Masaki Suga (須賀 正樹),N/A,N/A,N/A,N/A
El Cinéfilo,Maldón,N/A,N/A,N/A,N/A
Heroes of the Soviet Union:  The Defense of Mother Russia 1942-43,Brian L. Knipple,N/A,N/A,N/A,N/A
"Warhammer 40,000: Kill Team",N/A,N/A,N/A,N/A,N/A
Magic: The Gathering – Duel Decks: Knights vs. Dragons,Zac Hill,Chris Millar,N/A,N/A,N/A
SCAPE,Francisco Gallego Arredondo,N/A,N/A,N/A,N/A
Mū,Johan Benvenuto,David Paput,N/A,N/A,N/A
UBike Tour: Taiwan,Chih-Fan Chen,N/A,N/A,N/A,N/A
Message to the Czar,Antje Graf,Christiane Knepel,N/A,N/A,N/A
Letter GO!,Marcus Ross,Cara Ryan,N/A,N/A,N/A
Spaceship Unity: Episode 0,Ulrich Blum,Jens Merkl,N/A,N/A,N/A
Volcanic Isle,Andrea Mainini,Luciano Sopranzetti,N/A,N/A,N/A
Chaos Cove,Martin Wallace,N/A,N/A,N/A,N/A
Burger Quiz,N/A,N/A,N/A,N/A,N/A
Little Monster That Came for Lunch and Stayed for Tea,Robin Lees,Steve Mackenzie,N/A,N/A,N/A
Pencilvillage,Andrew Backhouse,N/A,N/A,N/A,N/A
Silly Shenanigans,Hans Baumgartner,N/A,N/A,N/A,N/A
Orion,(Uncredited),N/A,N/A,N/A,N/A
Space Rocket,Joel Pellegrino Hotham,N/A,N/A,N/A,N/A
Square Off,Alex Randolph,Alex Randolph,N/A,N/A,N/A
Sanctuary: The Keepers Era – Lands of Dawn,Leonardo Romano,N/A,N/A,N/A,N/A
Robotech: Force of Arms,Dave Killingsworth,N/A,N/A,N/A,N/A
Pink Hijinks,Andrew Looney,N/A,N/A,N/A,N/A
Champs de bataille: Soissons 486 et Poitiers 732,Stéphane Martin,Théophile Monnier,Luc Olivier,Nicolas Stratigos,N/A
Dice of Pirates,Sean Epperson,"Brander ""Badger"" Roullett",N/A,N/A,N/A
Trash Cult,N/A,N/A,N/A,N/A,N/A
Battlegame Book 5: Fighting Ships,Andrew McNeil,N/A,N/A,N/A,N/A
Grave Robbers III: Suburban Slashers from Sunnydale Street,Stephen Tassie,N/A,N/A,N/A,N/A
Red Poppies Campaigns: Volume 2 – Last Laurels At Limanowa,John Gorkowski,N/A,N/A,N/A,N/A
Rezolution: A Dark Tomorrow,Simon Mackenzie,N/A,N/A,N/A,N/A
Dust Tactics: Core Rulebook,Andrew Haught,Phil Yates,Olivier Zamfirescu,N/A,N/A
Victory at Sea,John Edwards,N/A,N/A,N/A,N/A
H.D.P.: Hasta Donde Puedas,N/A,N/A,N/A,N/A,N/A
Clash of the Eagles: Borodino & Friedland,Walt Dippel,Jack A. Werth,Kevin Zucker,N/A,N/A
Magic: The Gathering – Duel Decks: Ajani vs. Nicol Bolas,Mark L. Gottlieb,Chris Millar,N/A,N/A,N/A
El Maestro,Valéry Fourcade,N/A,N/A,N/A,N/A
Rise of Babel,Ivan Alexiev,Elijah Morar,N/A,N/A,N/A
Top Tier,Amar Dzomba,Dom Korzecke,Tyler O'Tsuji,N/A,N/A
Elric,Charlie Krank,Greg Stafford,Greg Stafford,Thomas N. Shaw,Glenn Rahman
Cryptozoology for Beginners,Cory Jones,Ben Stoll,Mataio Wilson,N/A,N/A
Invasion: Malta,Vance von Borries,N/A,N/A,N/A,N/A
Käseklau!,Wolfgang Dirscherl,N/A,N/A,N/A,N/A
One Night Ultimate Super Heroes,Ted Alspach,Akihisa Okui,N/A,N/A,N/A
Outbreak,Richard Davis (II),N/A,N/A,N/A,N/A
Heroes of Oktoberfest,Matthijs Leguijt,Suzanne Verhoef,N/A,N/A,N/A
Fairy Tale in My Pocket,Rebekah Bissell,N/A,N/A,N/A,N/A
G.I. JOE: Battle for the Arctic Circle,Matt Hyra,N/A,N/A,N/A,N/A
The Garlic Vampires,Wolfgang Dirscherl,N/A,N/A,N/A,N/A
14 Frantic Minutes,Sylvain Plante,Joe Slack,N/A,N/A,N/A
The Choice,Reinhard Staupe,N/A,N/A,N/A,N/A
This Game Goes to Eleven,Treo Game Designers,N/A,N/A,N/A,N/A
ContraBanter,Phil Gross,N/A,N/A,N/A,N/A
Fightball,James Ernest,Mike Selinker,N/A,N/A,N/A
Rabohnzel,Uwe Rosenberg,N/A,N/A,N/A,N/A
Jours de gloire Campagne II: La Pologne,Frédéric Bey,N/A,N/A,N/A,N/A
Sovereign: Fall of Wormwood,Damon Stea,N/A,N/A,N/A,N/A
Cartagena: Die Goldinsel,Rüdiger Dorn,N/A,N/A,N/A,N/A
Rattaneer,Hisashi Hayashi,N/A,N/A,N/A,N/A
Timeline: Česko,Frédéric Henry,N/A,N/A,N/A,N/A
Ironclads and Ether Flyers,Frank Chadwick,N/A,N/A,N/A,N/A
Westward Rails,Travis D. Hill,N/A,N/A,N/A,N/A
Gruntz 15mm Sci-Fi,Robin Fitton,N/A,N/A,N/A,N/A
Friday the 13th: Horror at Camp Crystal Lake,Sérgio Halaban,André Zatz,N/A,N/A,N/A
Columns,David Ward (I),N/A,N/A,N/A,N/A
Treelings,Paul Schulz,N/A,N/A,N/A,N/A
Godzilla Total War,Óscar Arévalo,N/A,N/A,N/A,N/A
Seasons' Keepers,Anaïs Raynaud,Julien Sentis,N/A,N/A,N/A
Cromwell's Victory: The Battle of Marston Moor,David James Ritchie,N/A,N/A,N/A,N/A
Empires of Zidal,Lee Kress,N/A,N/A,N/A,N/A
Rankster,Rikki Tahta,N/A,N/A,N/A,N/A
Shuttles,Philip Shoptaugh,N/A,N/A,N/A,N/A
"La Guerre de l'Empereur: The Emperor's War, 1805-1815",Nicolas Pilartz,Kevin Zucker,N/A,N/A,N/A
2WW: The War in Europe,Jon Compton,Paul Cooper,N/A,N/A,N/A
Pass the Popcorn! Game,(Uncredited),N/A,N/A,N/A,N/A
Rory's Story Cubes: Moomin,Rory O'Connor,N/A,N/A,N/A,N/A
The Suits: Season 3,Krzysztof Matusik,N/A,N/A,N/A,N/A
Magic: The Gathering – Duel Decks: Sorin vs. Tibalt,Kelly Digges,Chris Millar,N/A,N/A,N/A
Calciomania,(Uncredited),N/A,N/A,N/A,N/A
Piraten-Abenteuer,Wolfgang Kramer,N/A,N/A,N/A,N/A
Tonga Island,Stefan Dorra,N/A,N/A,N/A,N/A
BitterSweet,Matthew Hocker,N/A,N/A,N/A,N/A
Cité,Guillaume Besançon,N/A,N/A,N/A,N/A
Tally-Ho!,Thomas Van Hare,N/A,N/A,N/A,N/A
Uglydoll Card Game,Jason Schneider,N/A,N/A,N/A,N/A
Grand National,(Uncredited),N/A,N/A,N/A,N/A
Outrun,Ian Barrow,Paul Hunter,Szymon Stuglik,N/A,N/A
UNDO: Forbidden Knowledge,Michael Palm,Lukas Zach,N/A,N/A,N/A
Mythalix,Julian Gaine,Kyri Karaiskakis,N/A,N/A,N/A
Napoleon's Eagles 2: The Hundred Days – The Waterloo Campaign,Christopher Moeller,N/A,N/A,N/A,N/A
Tanuki Matsuri,Alexis Allard,N/A,N/A,N/A,N/A
Connec'Team,Jonathan Favre-Godal,Corentin Lebrat,N/A,N/A,N/A
Theomachy: The Warrior Gods,Tomasz Bylina,Adam Kwapiński,Sandy Petersen,Jakub Wasilewski,N/A
I'm Stuck in the Lift,Thotsaphon Deeratsamee,Watthanachai Treedecha,N/A,N/A,N/A
Geisterflucht,N/A,N/A,N/A,N/A,N/A
Hotdog,Sean Ross (I),N/A,N/A,N/A,N/A
Bastogne or Bust (Second Edition),Chester Hendrix,N/A,N/A,N/A,N/A
PLAGUE: The Card Game,Jason Glover,N/A,N/A,N/A,N/A
