Title,Designer 1,Designer 2,Designer 3,Designer 4,Designer 5
Balance Elemental,Julián Vecchione,N/A,N/A,N/A,N/A
Lepanto 1571: A Sea Turned Red by Blood,Enrico Acerbi,N/A,N/A,N/A,N/A
RallyRas,Pepe Roma,N/A,N/A,N/A,N/A
Historical Mystery: Death at the Ball,Mihail Rozanov,N/A,N/A,N/A,N/A
Lee Invades the North,Robert G. Markham,Mark Seaman,N/A,N/A,N/A
Scho K.O.,Andreas Kuhnekath-Häbler,Steffen Mühlhäuser,N/A,N/A,N/A
Sensu,Enrico Vicario,N/A,N/A,N/A,N/A
Organic Soup,Carl Chudyk,N/A,N/A,N/A,N/A
Scrabble Trickster,(Uncredited),N/A,N/A,N/A,N/A
Spellmaker,Eric Solomon,N/A,N/A,N/A,N/A
It from the Pit,(Uncredited),N/A,N/A,N/A,N/A
Soqquadro,Simone Luciani,Lorenzo Tucci Sorrentino,Daniele Tascini,N/A,N/A
Letter Roll,Tushar Gheewala,N/A,N/A,N/A,N/A
Regnum,Josep M. Allué,Dani Gómez,N/A,N/A,N/A
Calabozo: La aventura de los anillos,N/A,N/A,N/A,N/A,N/A
Astoria,Christophe Finas,N/A,N/A,N/A,N/A
Extinction: The Game Of Ecology,Stephen P. Hubbell,Margie Piret,N/A,N/A,N/A
Global War 1939,King Tiger Game Design,N/A,N/A,N/A,N/A
Captain Marvel: Secret Skrulls,N/A,N/A,N/A,N/A,N/A
SłowoStwory,Filip Miłuński,N/A,N/A,N/A,N/A
Q•bitz Extreme,Peggy Brown,N/A,N/A,N/A,N/A
Famous Divisions: Grossdeutschland Panzer,Eric R. Harvey,John Schettler,N/A,N/A,N/A
Split It,Igor Ganzha,N/A,N/A,N/A,N/A
Goldener Drache,Wolfgang Riedesser,Wolfgang Riedesser,N/A,N/A,N/A
Prise De Fer,Adam Danoff,N/A,N/A,N/A,N/A
Among Thieves,Vasil Lozanov,N/A,N/A,N/A,N/A
Thématik,Carlo Emanuele Lanzavecchia,N/A,N/A,N/A,N/A
Trailhead,Mike McDearmon,N/A,N/A,N/A,N/A
Mint Imperium,N/A,N/A,N/A,N/A,N/A
