Title,Designer 1,Designer 2,Designer 3,Designer 4,Designer 5
Inside Pitch Baseball,Chris Davis,N/A,N/A,N/A,N/A
Bushido: Risen Sun,N/A,N/A,N/A,N/A,N/A
Ambush Alley! A Game of Modern Urban Combat,Shawn Carpenter,Robby Carpenter,David Phipps,N/A,N/A
Flames of War: Open Fire,(Uncredited),N/A,N/A,N/A,N/A
Game Over,Jérémy Peytevin,N/A,N/A,N/A,N/A
Wayward Board Game,Bruce Hirst,N/A,N/A,N/A,N/A
Ape Town,Reiner Knizia,N/A,N/A,N/A,N/A
Daydream,Anthony Perone,Benoit Turpin,N/A,N/A,N/A
Out of Gears,Andrea Nani,N/A,N/A,N/A,N/A
Dealer's Dilemma,Shreesh Bhat,N/A,N/A,N/A,N/A
Lemonade Stand,Trevor Cram,N/A,N/A,N/A,N/A
Virus,Michele Quondam,N/A,N/A,N/A,N/A
414 BC: Siege of Syracuse,Dan Fournie,N/A,N/A,N/A,N/A
Gloom of Thrones,Kyla McT,N/A,N/A,N/A,N/A
Capone: The Business of Prohibition,Daniel Aronson,N/A,N/A,N/A,N/A
World War Zed: USA,David Kershaw,N/A,N/A,N/A,N/A
Arcanum,Andrea Chiarvesio,Pierluca Zizzi,N/A,N/A,N/A
Knockdown: Volume III,Adam Kwapiński,N/A,N/A,N/A,N/A
Mad Science Foundation,Sharang Biswas,Max Seidman,N/A,N/A,N/A
Kuba,Serge Cahu,N/A,N/A,N/A,N/A
Hold Your Ground,Team Identity,N/A,N/A,N/A,N/A
Four Suspects,Kristian Amundsen Østby,N/A,N/A,N/A,N/A
Miss Poutine,Olivier Lamontagne,N/A,N/A,N/A,N/A
Avec Infini Regret II,Laurent Closier,Florent Coupeau,N/A,N/A,N/A
Cysmic,Jason Blake,N/A,N/A,N/A,N/A
Stone Daze,Sharon Katz,Lior Keinan,N/A,N/A,N/A
Stadt Land Vollpfosten: Das Kartenspiel – Classic Edition,Ricardo Barreto,Denis Görz,N/A,N/A,N/A
Check Your 6! Jet Age,Scott Fisher,N/A,N/A,N/A,N/A
Stak Bots,Tom Norfolk,N/A,N/A,N/A,N/A
Schollen Rollen,Reiner Knizia,N/A,N/A,N/A,N/A
All Things Zombie,Ed Teixeira,N/A,N/A,N/A,N/A
Guiscard 2: The Varangian Guard,Buxeria,N/A,N/A,N/A,N/A
Rise of the Kage,Gordon Cunningham,N/A,N/A,N/A,N/A
Stage II,(Uncredited),N/A,N/A,N/A,N/A
The African Campaign,John Edwards,Don Lowry,N/A,N/A,N/A
Palenque,Alan D. Ernstein,N/A,N/A,N/A,N/A
Qwords,Bernhard Lach,Uwe Rapp,N/A,N/A,N/A
¡Arriba España!,Brian Train,N/A,N/A,N/A,N/A
Darkness,Taylor Hayward,N/A,N/A,N/A,N/A
Mopsen,Andreas Pelikan,N/A,N/A,N/A,N/A
Das GROSSE und das kleine A,Wolfgang Kramer,N/A,N/A,N/A,N/A
Ninja Burger: Secret Ninja Death Touch Edition,Steve Jackson (I),N/A,N/A,N/A,N/A
"June '44: The Struggle for Normandy, 1944",Danny Holte,N/A,N/A,N/A,N/A
Second World War at Sea: Arctic Convoy,Michael Bennighof,N/A,N/A,N/A,N/A
Station Master,Chris Bayliss,N/A,N/A,N/A,N/A
Of Knights and Ninjas,Josh McBride,N/A,N/A,N/A,N/A
