Title,Designer 1,Designer 2,Designer 3,Designer 4,Designer 5
Beyond the Gates of Antares: The Dice Game,Matt Green (I),Sam Mercer,N/A,N/A,N/A
Turbulence,Andrew Enslow,N/A,N/A,N/A,N/A
Knucklebones,(Uncredited),N/A,N/A,N/A,N/A
Lucky Jack,Richard Brault,Pascal Thoniel,N/A,N/A,N/A
Composio,Jean Fin,N/A,N/A,N/A,N/A
Cinco,(Uncredited),N/A,N/A,N/A,N/A
Texas Hold It,Matt Fantastic,Brandan Parsons,N/A,N/A,N/A
Ring-A-Ding-Ding,Jeanie Gadish,Geannie Gadish,Haim Shafir,N/A,N/A
Sedma,(Uncredited),N/A,N/A,N/A,N/A
Interpol,(Uncredited),N/A,N/A,N/A,N/A
PuzzLegend: Merlin,Yoann Levet,N/A,N/A,N/A,N/A
Attack of the Kaiju,Matthew Grau,N/A,N/A,N/A,N/A
Play Me: Alice in Wonderdice,Aldébaran Geneste,N/A,N/A,N/A,N/A
Speedway Champion,Jan Jalůvka,N/A,N/A,N/A,N/A
Dragon Master: BGG Convention Promo,Reiner Knizia,N/A,N/A,N/A,N/A
InterUrban,Michael Schacht,N/A,N/A,N/A,N/A
Scavenger Hunt,Gunnar Hultgren,N/A,N/A,N/A,N/A
Feuer & Flamme,Stefan Dorra,Manfred Reindl,N/A,N/A,N/A
Global Warming,S. Deniz Bucak,N/A,N/A,N/A,N/A
J'Accuse!,Jonathan Lavallee,N/A,N/A,N/A,N/A
Ruck Zuck,Manfred Schreiber,N/A,N/A,N/A,N/A
Galaxy Command,Robert Bartelli,N/A,N/A,N/A,N/A
Step by Step,Bernhard Lach,Uwe Rapp,N/A,N/A,N/A
Het Groot Van Dale Spel der Nederlandse Taal,Dick de Rijk,N/A,N/A,N/A,N/A
Zomax,(Uncredited),N/A,N/A,N/A,N/A
Inquizitor,Kancz Balàzs,Márk Zoltán,N/A,N/A,N/A
In the City: Origins,Duncan Davis,N/A,N/A,N/A,N/A
Pixel Guardians,Robb De Nicola,N/A,N/A,N/A,N/A
Black Stories 8,Holger Bösch,N/A,N/A,N/A,N/A
Zenix,Jürgen Heel,N/A,N/A,N/A,N/A
Outburst II,Brian Hersch,N/A,N/A,N/A,N/A
The Legend of Zelda: The Hyrule Fantasy,N/A,N/A,N/A,N/A,N/A
Wild Pirates,Jürgen P. Grunau,N/A,N/A,N/A,N/A
The Game of Nasty Things...,Tom Quinn,Ted Quinn,Mark Sherry,N/A,N/A
Jungle Speed: Silver,N/A,N/A,N/A,N/A,N/A
Dejarik,N/A,N/A,N/A,N/A,N/A
Okinawa: The Bloodiest Battle In The Pacific,Roger Nord,N/A,N/A,N/A,N/A
Foe Hunters,Larry Lembcke,N/A,N/A,N/A,N/A
Moscow Burning: The Next Russian Civil War,Ty Bomba,N/A,N/A,N/A,N/A
Clear the Decks!,Chris Pinyan,N/A,N/A,N/A,N/A
"Soldiers: Decision in the Trenches, 1918",Ty Bomba,N/A,N/A,N/A,N/A
Roots: A Game of Inventing Words,James Pianka,N/A,N/A,N/A,N/A
Fleecing Olympus,Eric Hyland,"Cecilia ""CC"" Hyland",N/A,N/A,N/A
Artefakt,Michael Palm,Lukas Zach,N/A,N/A,N/A
Exalted: War for the Throne,Ken Cliffe,N/A,N/A,N/A,N/A
The 13th Street Crew,Matt Crimmins,N/A,N/A,N/A,N/A
The Dragon's Wrath,(Uncredited),N/A,N/A,N/A,N/A
