Title,Geek Rating,Avg rating,Num of voters,Price,Year,Complexity,Min players,Max players,Min time,Max time,Age,Type 1,Type 2
Super Mario: Level Up! Board Game,5.63,6.3,444,N/A,2017,1.25,3,6,10,30,8,N/A,N/A
Aztlán,5.63,6.28,454,39.95,2012,2.39,2,4,60,60,13,N/A,N/A
N: The Napoleonic Wars,5.63,7.51,142,N/A,2017,3.13,1,1,60,240,12,Wargames,N/A
The Soo Line,5.63,6.87,209,N/A,2018,2.11,3,5,45,45,N/A,Strategy,N/A
Berried Treasure,5.63,6.64,256,N/A,2021,1.00,2,5,20,20,7,N/A,N/A
Pocket Madness,5.63,6.02,715,N/A,2016,1.33,2,4,30,30,8,Family,N/A
Baseball Highlights: 2045 – Spring Training,5.63,7.4,142,N/A,2017,2.67,1,2,45,45,9,N/A,N/A
Hamsterbacke,5.63,6.54,288,N/A,2014,1.25,3,5,20,20,8,Family,N/A
The Specialists,5.63,7.07,222,N/A,2021,2.77,1,4,30,75,14,N/A,N/A
Russian Civil War 1918-1922,5.63,7.01,207,N/A,1976,3.15,1,6,180,180,12,Wargames,N/A
El Alamein,5.63,6.96,231,N/A,2010,2.86,2,5,60,60,12,Thematic,Wargames
Scuttle!,5.63,6.39,441,N/A,2016,1.00,1,5,5,10,6,N/A,N/A
Monster Fluxx,5.63,6.16,578,N/A,2013,1.17,2,6,5,20,8,N/A,N/A
Dragon Keepers,5.63,6.62,294,N/A,2019,1.56,1,6,10,40,6,Family,N/A
Ominoes,5.63,6.49,318,N/A,2016,1.36,2,4,15,15,6,Abstract,N/A
Octiles,5.63,6.47,322,N/A,1984,1.90,2,4,60,60,8,Abstract,N/A
Blood Red Skies: Battle of Britain,5.63,7.37,191,N/A,2017,2.50,2,99,30,60,12,Wargames,N/A
Filler,5.63,6.71,263,N/A,2019,1.75,1,6,20,30,8,N/A,N/A
Highway to the Reich: Operation Market-Garden 17-26 September 1944,5.63,7.07,206,N/A,1977,4.39,1,5,360,720,12,Wargames,N/A
Burning Suns,5.63,7.1,212,N/A,2013,3.35,2,5,80,200,14,Strategy,N/A
Catalyst,5.63,6.62,278,N/A,2018,2.00,2,4,20,40,10,Family,Strategy
Hammer Time,5.63,6.67,252,N/A,2020,1.00,2,4,15,30,5,N/A,N/A
Sports Illustrated Baseball,5.63,7.35,206,N/A,1972,1.96,1,2,45,45,12,N/A,N/A
TacTiki,5.63,7.28,202,37.60,2022,1.31,2,2,30,30,12,Abstract,N/A
For the Queen,5.63,7.13,192,N/A,2019,1.17,2,6,30,120,13,N/A,N/A
Power Rangers: Deck-Building Game,5.63,7.27,203,33.90,2021,2.75,2,4,30,70,14,N/A,N/A
Rory's Story Cubes: Clues,5.63,6.57,294,N/A,2013,1.00,1,12,15,15,8,N/A,N/A
Russia Besieged: Deluxe Edition,5.63,8.53,114,N/A,2018,3.50,1,2,120,1200,N/A,Wargames,N/A
