Title,Geek Rating,Avg rating,Num of voters,Price,Year,Complexity,Min players,Max players,Min time,Max time,Age,Type 1,Type 2
Zaibatsu,5.542,7.05,63,N/A,2010,2.71,2,4,120,120,14,Strategy,N/A
Gear & Piston,5.542,5.71,546,N/A,2013,2.13,2,6,30,60,8,Family,N/A
Dragon Face,5.542,6.71,89,N/A,2011,2.56,2,2,20,20,8,Abstract,N/A
Black It Out,5.542,8.25,74,N/A,2020,1.00,1,100,10,30,4,N/A,N/A
Perplexus Twist,5.542,6.76,70,N/A,2013,2.00,1,1,N/A,N/A,8,N/A,N/A
Neuschwabenland,5.542,7.61,45,N/A,2015,2.83,2,2,30,60,10,Wargames,N/A
フォグサイト (FOGSITE),5.542,6.92,64,N/A,2019,2.25,2,4,30,40,10,N/A,N/A
¡Desplumados!,5.542,7.07,74,N/A,2019,1.25,3,7,15,30,8,N/A,N/A
Shogun,5.542,5.76,580,N/A,1976,1.92,2,2,10,10,8,Abstract,N/A
CLEVER,5.542,6.85,67,N/A,2014,1.00,2,9,15,15,6,N/A,N/A
Stellar Expedition,5.542,7.65,50,N/A,2022,3.00,1,4,90,120,14,N/A,N/A
AeroTech: The BattleTech Game of Fighter Combat,5.542,5.92,342,N/A,1986,3.05,2,8,120,120,12,Thematic,Wargames
Pitch&Plakks,5.542,6.27,114,N/A,2021,1.00,1,20,10,180,3,N/A,N/A
Drive on Kursk:  July 1943,5.542,6.87,70,N/A,2008,2.62,2,2,N/A,N/A,N/A,Wargames,N/A
Slap .45,5.542,6.31,159,N/A,2015,1.33,3,7,20,20,10,Party,N/A
18NL,5.542,7.11,51,N/A,1999,3.33,3,6,180,360,14,N/A,N/A
El Soneto,5.542,6.69,78,N/A,2016,2.67,2,4,60,60,12,N/A,N/A
Clash of Empires: The Battle for France 1914,5.542,6.89,68,N/A,1986,2.30,2,3,120,120,12,Wargames,N/A
Close Assault: A Man-to-Man Game of Squad Tactics and Command – Europe 1939-1945,5.542,7.25,60,N/A,1983,2.88,1,4,90,90,12,Wargames,N/A
Black Hat,5.542,6.06,209,N/A,2015,2.40,2,6,30,45,10,N/A,N/A
Great War at Sea / Second World War at Sea: Cone of Fire,5.542,7.17,54,N/A,2008,2.91,2,4,N/A,N/A,12,Wargames,N/A
Exceed: BlazBlue – Ragna Box,5.542,8.26,36,N/A,2021,3.00,2,2,15,20,12,N/A,N/A
Flink,5.542,7.88,43,N/A,2016,2.00,2,2,20,40,10,Abstract,N/A
Critters Below,5.542,6.38,108,N/A,2017,2.22,1,6,30,60,14,N/A,N/A
"Storm Over Madrid 1936: ""Miracle of November""",5.542,7.19,60,N/A,2020,2.86,2,2,60,240,N/A,Wargames,N/A
Cat Sudoku,5.542,6.23,139,N/A,2019,1.00,1,6,15,20,8,N/A,N/A
