Title,Geek Rating,Avg rating,Num of voters,Price,Year,Complexity,Min players,Max players,Min time,Max time,Age,Type 1,Type 2
Kill the Overlord,5.558,5.9,392,N/A,2012,1.38,4,8,45,45,13,Party,N/A
Fado: Duetos e Desgarradas,5.558,7.23,100,N/A,2018,1.67,2,4,20,30,7,N/A,N/A
Panther Line: Army Group North 1944,5.558,7.81,57,N/A,2004,3.63,2,2,180,180,12,Wargames,N/A
Sans Alliés,5.558,6.79,101,N/A,2016,1.50,1,1,45,60,8,Thematic,Wargames
Chronopia,5.558,7.09,83,N/A,1997,3.30,2,4,90,90,12,Thematic,Wargames
Dice Command,5.558,7.58,63,N/A,2021,2.17,2,4,25,60,N/A,Wargames,N/A
Maurice: War in an Age of Gentlemen and Philosophers – 1690-1790,5.558,8.19,51,N/A,2012,2.69,2,4,180,180,12,Wargames,N/A
Lords of the Sierra Madre (Second Edition),5.558,6.38,155,N/A,1995,3.48,2,8,240,240,14,Thematic,Wargames
Triora: City of Witches,5.558,7.59,80,N/A,2019,3.10,2,4,75,120,14,N/A,N/A
Arydia: The Paths We Dare Tread,5.558,8.22,79,N/A,2024,3.40,1,4,60,120,14,N/A,N/A
Moonbase Alpha,5.558,6.87,100,N/A,2012,2.50,1,2,45,45,12,Wargames,N/A
Sherlock Holmes: Baker Street Irregulars,5.558,6.59,121,N/A,2020,1.60,1,4,90,90,8,N/A,N/A
Days of Decision III,5.558,7.28,82,N/A,2004,4.07,2,8,360,360,14,Wargames,N/A
1940,5.558,6.5,130,N/A,1980,2.36,2,2,120,120,12,Wargames,N/A
Sherlock Middle Ages: El Endemoniado,5.558,6.93,85,N/A,2021,2.00,1,8,60,60,8,N/A,N/A
Streaming,5.558,6.56,124,N/A,2018,1.40,3,5,30,30,10,N/A,N/A
Roar-a-Saurus,5.558,5.92,356,N/A,2014,1.21,2,5,15,15,8,Family,N/A
Cursed!?,5.558,8.36,59,N/A,2023,1.00,1,1,3,10,10,N/A,N/A
The Crusades: Western Invasions of the Holy Land 1097-1191 A.D.,5.558,6.29,178,N/A,1978,2.90,2,8,240,240,12,Wargames,N/A
Trivial Pursuit: DVD – Star Wars Saga Edition,5.558,5.95,422,49.99,2005,1.91,2,6,45,90,10,Family,N/A
Beda Fomm,5.558,6.92,100,N/A,1979,2.20,2,2,120,120,12,Wargames,N/A
The Hobbit: An Unexpected Journey Strategy Battle Game,5.558,7.46,67,N/A,2012,3.00,2,2,30,30,12,Wargames,N/A
Doomtown: Weird West Edition,5.558,8.87,50,N/A,2022,3.80,1,6,30,60,12,N/A,N/A
Vampyre,5.558,6.28,202,N/A,1981,1.50,2,6,45,45,12,Thematic,N/A
Ricochet: Le Profil de l'Homme Sans Visage,5.558,8.06,50,N/A,2021,1.50,1,10,10,10,14,N/A,N/A
Cartoon Network Fluxx,5.558,5.9,520,N/A,2014,1.46,2,6,15,15,8,N/A,N/A
Versailles,5.558,6.99,88,N/A,2015,1.83,3,4,30,45,15,N/A,N/A
Deep Space D-6: Armada,5.558,6.33,205,N/A,2021,2.67,1,4,60,90,14,N/A,N/A
18Dixie with 18MS and 18GA,5.558,7.36,62,N/A,2015,3.33,2,6,120,150,12,N/A,N/A
Air Show,5.558,6.56,114,N/A,2011,2.55,2,5,60,90,14,N/A,N/A
White Bear & Red Moon,5.558,7.58,73,N/A,1975,3.10,1,3,90,90,N/A,Wargames,N/A
Villainous Vikings (Second Edition),5.558,6.74,103,N/A,2014,2.50,3,5,60,60,13,N/A,N/A
Tinian: The Forgotten Battle,5.558,8.11,55,N/A,2019,3.14,1,2,120,900,14,Wargames,N/A
Pusheen Purrfect Pick,5.558,6.36,172,N/A,2021,1.33,2,5,10,30,8,Family,N/A
Gothic Doctor,5.558,6.75,119,N/A,2015,1.90,2,4,25,25,12,N/A,N/A
Leapfrog,5.558,6.22,186,N/A,2004,1.50,1,6,20,20,7,N/A,N/A
Gates of Mara,5.558,7.06,89,N/A,2020,3.29,2,4,90,120,14,N/A,N/A
Football Highlights: The Dice Game,5.558,7.07,77,N/A,2021,1.50,1,4,20,45,8,N/A,N/A
Encounters: Shadowrun,5.558,6.22,196,N/A,2016,2.33,1,8,15,30,13,N/A,N/A
What Price Glory?,5.558,6.86,87,N/A,2013,2.09,2,2,240,240,12,Wargames,N/A
Caravelas II,5.558,6.74,124,N/A,2013,1.78,2,4,45,45,8,N/A,N/A
Vejen,5.558,6.52,148,N/A,2019,3.38,2,4,60,120,12,N/A,N/A
Holdfast: Korea 1950-51,5.558,6.73,112,N/A,2015,2.31,1,2,120,120,13,Wargames,N/A
Fou Fou Fou!,5.558,6.51,147,N/A,2019,1.25,3,8,15,15,8,N/A,N/A
KAPOW! Volume 2,5.558,7.71,55,N/A,2023,1.00,1,4,20,60,12,N/A,N/A
Kaiju Crush,5.558,6.33,178,N/A,2017,2.00,2,4,45,45,10,N/A,N/A
First to Fight,5.558,7.09,98,N/A,1991,3.83,2,2,240,240,12,Wargames,N/A
La Bataille de Wavre,5.558,7.44,71,N/A,1994,3.82,2,2,N/A,N/A,12,Wargames,N/A
Rommel's War,5.558,7.33,73,N/A,1985,3.67,2,2,180,180,12,Wargames,N/A
Race to the North Pole,5.558,6.07,342,N/A,2015,1.88,2,4,45,45,7,Family,N/A
Thread Count,5.558,6.37,148,N/A,2020,1.00,2,6,5,5,8,N/A,N/A
TimeTripper,5.558,6.24,209,N/A,1980,2.18,1,4,45,45,12,Thematic,Wargames
Ursa Miner,5.558,7.37,110,N/A,2017,1.60,2,4,30,40,8,N/A,N/A
Streets of Stalingrad,5.558,7.56,68,N/A,1979,4.27,2,2,180,180,12,Wargames,N/A
World in War: Combined Arms 1939-1945,5.558,6.49,149,N/A,2004,2.04,2,4,120,120,12,Wargames,N/A
12 Patrols,5.558,6.33,158,N/A,2019,1.78,1,1,5,15,12,N/A,N/A
Magellan: Elcano,5.558,6.45,147,N/A,2021,1.33,2,5,15,30,7,N/A,N/A
"I Don't Know, What Do You Want to Play?",5.558,6.81,88,N/A,2007,1.06,2,999,5,5,8,N/A,N/A
Bestiary of Sigillum: Collector's Edition,5.558,7.69,74,N/A,2023,2.75,1,4,30,30,14,Abstract,N/A
Monty's Gamble: Market Garden (Second Edition),5.558,7.89,61,N/A,2019,3.25,2,2,180,180,12,Wargames,N/A
Nightmare,5.558,5.9,1043,179.89,1991,1.79,3,6,60,60,12,Party,Thematic
La Casa de Papel Escape Game,5.558,6.38,136,N/A,2019,2.00,3,8,60,90,14,N/A,N/A
Intelle,5.558,7.59,89,N/A,2017,1.75,2,2,15,15,10,N/A,N/A
Nature of the Beast: City vs. Suburb,5.558,6.64,114,18.00,2005,2.70,2,4,60,60,12,Customizable,Strategy
Imperator,5.558,7.46,74,N/A,2002,3.00,2,2,30,480,12,Wargames,N/A
Ligny & Wavre 1815: The Empire's Last Victories,5.558,8.24,48,N/A,2016,3.75,2,2,N/A,N/A,N/A,Wargames,N/A
Wiener Walzer,5.558,6.64,111,N/A,2016,1.88,2,5,30,30,8,Family,N/A
Colorado County,5.558,6.18,182,N/A,1998,2.47,2,4,60,60,10,Strategy,N/A
The Conquistadors: The Spanish Conquest of the Americas 1518-1548,5.558,7.09,93,N/A,2020,3.00,1,5,180,360,N/A,Wargames,N/A
National Economy Mecenat,5.558,6.9,94,N/A,2017,2.50,1,4,30,45,12,N/A,N/A
"Kanev: Parachutes Across the Dnepr, September 23-26, 1943",5.558,6.51,132,N/A,1981,2.81,2,2,120,360,12,Wargames,N/A
Mandragora,5.558,6.7,111,N/A,2021,1.33,2,4,25,30,8,N/A,N/A
"Across Suez: The Battle of the Chinese Farm October 15, 1973",5.558,6.25,177,N/A,1980,2.03,2,2,120,120,12,Wargames,N/A
To the Strongest!,5.558,7.93,52,N/A,2014,2.67,2,10,120,120,10,Wargames,N/A
Eco-Links,5.558,6.67,111,N/A,2018,0.00,2,4,20,20,7,N/A,N/A
Gruff: Rage of the Trolls,5.558,8.09,74,N/A,2017,4.00,1,2,20,45,12,N/A,N/A
Defiant Russia,5.558,6.17,221,N/A,2004,2.06,2,2,120,120,12,Wargames,N/A
Soul of the Empire,5.558,7.42,75,N/A,2018,3.29,2,4,100,140,14,Wargames,N/A
Animals Gathering,5.558,7.04,100,29.99,2023,1.33,2,5,20,40,8,N/A,N/A
Treasures of Cibola,5.557,6.53,133,N/A,2019,1.50,2,4,15,20,8,N/A,N/A
Overlord,5.557,6.98,93,N/A,1973,2.77,2,4,180,180,12,Wargames,N/A
Fallen Angels,5.557,6.71,108,N/A,2018,1.75,2,6,20,40,10,N/A,N/A
Dragon Pets,5.557,6.43,149,N/A,2016,2.00,2,4,20,35,8,N/A,N/A
Doughnut Drive-Thru,5.557,6.03,259,N/A,2015,1.33,2,4,20,30,10,N/A,N/A
Dreams of Tomorrow,5.557,6.32,179,N/A,2019,2.00,1,6,45,45,8,N/A,N/A
Schrödinger's Cats,5.557,5.73,759,15.55,2015,1.21,2,6,10,30,8,N/A,N/A
"War in the East: The Russo-German Conflict, 1941-45",5.557,7.07,88,N/A,1974,3.23,2,6,480,480,12,Wargames,N/A
Bobbin' Bumblebee,5.557,6.19,182,N/A,2007,1.00,2,4,10,10,3,Children's,N/A
Helden in der Unterwelt,5.557,6.46,131,N/A,2005,2.25,1,4,90,90,10,Thematic,N/A
The Arduous Beginning,5.557,7.05,83,N/A,2009,1.79,1,2,120,120,12,Wargames,N/A
Spy Tricks,5.557,6.49,122,N/A,2016,1.33,3,4,30,30,N/A,N/A,N/A
Der Abenteuer Club,5.557,6.86,93,N/A,2022,1.60,2,5,20,40,8,N/A,N/A
Hunters of the Lost Creatures,5.557,6.98,95,N/A,2023,1.20,2,5,15,20,5,N/A,N/A
