Title,Geek Rating,Avg rating,Num of voters,Price,Year,Complexity,Min players,Max players,Min time,Max time,Age,Type 1,Type 2
"Oh, Fox!",5.56,6.55,149,N/A,2019,1.67,2,4,20,20,8,N/A,N/A
Apollo XIII,5.56,6.31,196,N/A,2015,2.67,2,5,45,75,14,Strategy,Thematic
Spit It Out!,5.56,6.01,270,N/A,2015,1.00,3,8,20,30,10,Party,N/A
Hogs of War: The Miniatures Game,5.56,8.37,165,N/A,2020,3.50,1,4,60,90,10,Family,Wargames
Gum Gum Machine,5.56,5.87,411,N/A,2015,1.75,2,4,30,30,8,N/A,N/A
"Maori Wars: The New Zealand Land Wars, 1845-1872",5.56,7.23,86,N/A,2018,2.50,1,2,120,120,12,Wargames,N/A
A Fool's Fortune,5.56,6.1,256,29.99,2012,2.50,2,3,45,45,13,Strategy,N/A
The Headlines Game,5.56,6.86,97,N/A,1989,1.00,2,12,45,45,12,N/A,N/A
Fist of Dragonstones: The Tavern Edition,5.56,6.49,132,37.75,2018,2.00,3,6,45,60,8,N/A,N/A
"Wagram: The Peace of Vienna, 5-6 July 1809",5.56,6.75,111,N/A,1975,2.13,1,2,90,90,12,Wargames,N/A
Syracuse (415/413 av. J.-C.),5.56,7.57,69,N/A,2012,2.06,2,2,120,120,N/A,Wargames,N/A
Herr der Ziegen,5.56,6.12,209,N/A,2008,1.96,2,5,40,40,8,Family,N/A
Dakota,5.56,5.89,421,16.95,2010,2.61,3,5,90,90,10,Strategy,N/A
"Malvern Hill: The Battles of the Seven Days, Volume III",5.56,7.37,76,N/A,1999,3.64,1,2,240,240,N/A,Wargames,N/A
Struggle for Europe 1939 - 1945,5.56,7.1,82,N/A,2019,2.38,2,2,45,120,10,Wargames,N/A
Cannonball Colony,5.56,7.0,84,N/A,2008,2.44,2,4,60,60,10,Abstract,Strategy
MonsDRAWsity: Top Secret,5.56,7.11,75,N/A,2022,0.00,3,6,20,60,8,N/A,N/A
Pencils & Powers,5.56,7.24,97,N/A,2017,1.75,1,8,30,45,12,N/A,N/A
Nexus,5.56,6.16,219,N/A,2001,1.70,2,4,20,20,10,Abstract,N/A
Bears!,5.56,5.78,921,N/A,2011,1.04,2,4,20,20,7,Family,N/A
A Pragmatic War: The War of the Austrian Succession 1741 – 1748,5.56,7.85,66,N/A,2019,2.82,2,2,180,300,14,Wargames,N/A
Castle Flutterstone,5.56,6.36,180,N/A,2016,1.67,2,4,15,25,6,Children's,N/A
The Guardians: Explore,5.56,7.02,144,N/A,2016,3.20,2,5,45,90,13,N/A,N/A
Skeptics,5.56,8.03,67,N/A,N/A,2.50,1,4,30,120,14,N/A,N/A
BattleGoats,5.56,7.14,92,N/A,2016,1.14,2,6,5,30,9,N/A,N/A
Good Face Bad Face,5.56,6.8,108,N/A,2023,1.17,2,5,5,30,8,N/A,N/A
Barbarians at the Gates: The Decline and Fall of the Western Roman Empire 337 - 476,5.56,7.66,66,N/A,2022,3.30,2,2,120,300,N/A,Wargames,N/A
Anno Domini: VIP,5.56,6.92,90,N/A,2004,1.44,2,8,30,30,10,N/A,N/A
1829 Northern Board,5.56,6.92,97,N/A,1981,3.86,2,9,360,360,12,Strategy,N/A
Renegade Legion: Leviathan,5.56,6.47,165,N/A,1989,3.08,2,2,90,90,10,Wargames,N/A
Orb Hunters,5.56,6.67,123,N/A,2019,2.00,2,5,15,30,8,N/A,N/A
