Title,Geek Rating,Avg rating,Num of voters,Price,Year,Complexity,Min players,Max players,Min time,Max time,Age,Type 1,Type 2
Hail Caesar: Battles with Model Soldiers in the Ancient Era,5.577,7.21,107,N/A,2011,3.00,2,8,240,240,N/A,Wargames,N/A
Adventure Time Card Wars: Princess Bubblegum vs. Lumpy Space Princess,5.577,6.23,326,N/A,2014,1.40,2,2,30,30,10,N/A,N/A
For Whom the Bell Tolls,5.577,7.04,118,N/A,1995,3.85,2,2,480,720,N/A,Wargames,N/A
Lancashire Railways,5.577,6.88,117,N/A,1998,3.14,3,6,120,120,12,Strategy,N/A
Blücher,5.577,8.28,71,N/A,2015,2.20,2,4,120,180,10,Wargames,N/A
"Frutti di Mare: Veni, Vidi, Antipasti!",5.577,6.43,201,N/A,2017,2.00,2,6,30,90,10,Party,Wargames
"River of Death: Battle of Chickamauga, September 19-20, 1863",5.577,7.4,90,N/A,1999,3.56,2,2,360,360,14,Wargames,N/A
Turbulences,5.577,7.98,90,N/A,2020,2.20,2,6,45,45,10,N/A,N/A
To Take Washington: Jubal Early's Summer 1864 Campaign,5.577,8.36,70,N/A,2019,4.33,1,6,120,3600,14,Wargames,N/A
That Old Wallpaper,5.577,6.31,223,15.98,2022,1.50,2,5,15,30,10,N/A,N/A
NHL Ice Breaker: The Card Hockey Board Game,5.577,6.18,304,N/A,2006,1.50,1,4,25,25,8,Family,Thematic
Richard I,5.577,6.81,157,N/A,2014,2.64,3,8,60,60,12,Strategy,N/A
The Phantom Society,5.577,5.81,760,N/A,2013,1.49,2,4,20,20,8,Family,N/A
Dungeon Busters,5.577,5.88,584,N/A,2014,1.29,3,5,20,20,8,Party,N/A
The Refuge: Terror from the Deep,5.577,6.91,151,N/A,2019,2.00,1,6,20,60,14,N/A,N/A
Israeli Independence: The First Arab-Israeli War,5.577,6.35,256,N/A,2008,1.22,1,1,15,15,13,Wargames,N/A
Soccer Tactics World,5.577,6.08,353,N/A,2006,1.82,2,2,90,90,8,N/A,N/A
Order of the Stick Adventure Game: The Dungeon of Dorukan,5.577,5.75,1278,89.99,2006,2.76,2,6,180,360,10,Thematic,N/A
Imagem & Ação 2,5.577,6.64,158,N/A,2002,1.31,4,16,60,60,8,N/A,N/A
Plażing: parawany w dłoń,5.577,7.06,125,N/A,2019,2.25,2,4,30,45,10,N/A,N/A
Outremer,5.577,7.02,106,N/A,1987,2.56,2,6,180,180,12,Wargames,N/A
Luxor,5.577,6.15,304,N/A,2001,1.45,2,4,30,45,9,N/A,N/A
El Castillo del Terror,5.577,6.7,176,N/A,2017,1.00,2,4,15,30,6,N/A,N/A
HATSUDEN,5.577,6.41,203,N/A,2017,1.22,2,2,15,30,10,N/A,N/A
Crooks,5.577,6.14,337,N/A,2012,1.46,2,4,15,15,10,N/A,N/A
Hippo,5.577,6.07,394,N/A,2017,1.00,2,4,15,20,6,N/A,N/A
Dungeons & Dragons: Dungeon Scrawlers – Heroes of Undermountain,5.577,6.58,174,18.00,2021,1.00,2,4,15,15,10,N/A,N/A
Knaster,5.577,6.37,215,N/A,2019,1.00,1,99,15,15,8,N/A,N/A
Connect6,5.577,6.36,237,N/A,2003,2.55,2,2,30,30,8,Abstract,N/A
Fast Food Fear!,5.577,6.06,378,N/A,2017,1.09,3,6,10,30,8,Family,Party
Dream Catchers,5.577,6.67,155,N/A,2019,2.00,2,4,25,35,13,N/A,N/A
Boxcars,5.577,6.44,236,41.79,1974,2.56,2,6,180,180,13,N/A,N/A
Witch Hunt,5.577,7.41,150,N/A,2016,2.00,7,22,30,90,13,Party,N/A
Mad City,5.577,6.13,298,29.99,2014,1.67,1,6,20,30,8,Family,N/A
Gettysburg 150,5.577,7.22,94,N/A,2013,2.15,1,2,120,120,10,Wargames,N/A
Hour of Glory: Stronghold Kit,5.577,7.16,121,N/A,2004,2.63,2,4,60,60,12,Thematic,N/A
Ezra and Nehemiah,5.577,8.19,70,N/A,2024,3.67,1,4,90,120,13,N/A,N/A
A Billion Suns: Interstellar Fleet Battles,5.577,7.93,83,N/A,2021,3.40,2,6,30,90,10,Wargames,N/A
Unicorn Glitterluck: Cloud Stacking,5.577,6.4,197,N/A,2019,1.00,1,4,15,15,4,Children's,N/A
Weapons & Warriors:  Castle Combat Set,5.577,6.05,537,N/A,1993,1.27,2,99,30,30,7,Children's,N/A
Micro Rome,5.577,7.07,120,N/A,2023,1.33,1,1,30,30,10,N/A,N/A
Road Hog: Rule the Road,5.577,6.39,236,N/A,2017,1.67,2,5,30,30,10,N/A,N/A
Cherry Picking,5.577,6.48,166,N/A,2014,1.60,2,6,30,30,8,N/A,N/A
Titan Legions,5.577,6.86,132,N/A,1994,2.58,2,2,240,240,12,Thematic,Wargames
Let's Go! To Japan,5.577,7.34,96,N/A,2024,2.00,1,5,45,60,10,N/A,N/A
Star Wars: Stolen Plans Card Game,5.577,6.51,185,N/A,2006,1.09,2,6,30,30,6,N/A,N/A
Erune,5.577,7.96,169,N/A,2021,3.13,1,5,60,150,12,N/A,N/A
Rush Hour,5.576,6.23,268,N/A,1981,1.33,2,6,60,60,8,N/A,N/A
1809: Napoleon's Danube Campaign,5.576,6.49,192,N/A,1984,3.50,2,2,240,240,12,Wargames,N/A
The Penguin Ultimatum,5.576,6.18,265,N/A,2003,1.83,2,4,45,45,10,Abstract,N/A
Farm Club,5.576,6.12,291,N/A,2022,1.75,2,5,20,20,8,N/A,N/A
The Great Game: Rival Empires in Central Asia 1837-1886,5.576,7.14,116,N/A,2018,2.08,2,2,120,180,N/A,Wargames,N/A
