Title,Geek Rating,Avg rating,Num of voters,Price,Year,Complexity,Min players,Max players,Min time,Max time,Age,Type 1,Type 2
Kelp,5.535,7.59,50,N/A,2024,2.40,2,2,45,60,12,N/A,N/A
No Retreat 2: The Africa Front 1940-1942,5.535,7.45,39,N/A,2011,2.88,2,2,50,50,14,Wargames,N/A
Starmada X,5.534,7.0,50,N/A,2000,2.75,2,2,180,180,10,Wargames,N/A
Everything Ever,5.534,6.53,75,19.95,2023,1.00,2,10,20,60,12,N/A,N/A
Clash of Decks: Breaching In,5.534,7.74,36,N/A,2022,2.00,1,2,30,8,15,N/A,N/A
Nobody is Perfect: Mini Edition,5.534,6.22,95,N/A,2014,1.00,2,4,30,30,14,N/A,N/A
Hossa!,5.534,6.39,77,N/A,2000,1.13,3,8,45,45,8,N/A,N/A
The Hearmees,5.534,6.75,58,N/A,2017,1.86,3,4,15,20,5,N/A,N/A
Sherlock Holmes Detective Story Game,5.534,7.13,53,N/A,2013,2.17,1,1,60,60,10,N/A,N/A
For One: Kniffel,5.534,7.36,36,N/A,2023,1.50,1,1,20,20,8,N/A,N/A
Combo King,5.534,5.87,226,N/A,2006,1.15,2,4,20,20,8,N/A,N/A
Tanto Cuore: Doki Doki Beach Volleyball,5.534,6.45,102,N/A,2018,1.00,2,2,15,25,12,N/A,N/A
In their Quiet fields,5.534,7.65,41,N/A,1988,3.17,2,2,360,360,12,Wargames,N/A
Wing It: The Game of Extreme Storytelling,5.534,6.82,81,N/A,2017,1.67,4,7,15,90,12,N/A,N/A
Paul Koenig's D-Day: Utah and Omaha – The American Beaches,5.534,7.01,45,N/A,2008,1.55,2,2,50,50,12,Wargames,N/A
Paul Koenig's Market Garden: Nijmegen Bridge,5.534,6.93,46,N/A,2012,1.91,1,2,50,50,12,Wargames,N/A
Blitzkrieg to Moscow 2,5.534,7.34,41,N/A,2016,2.33,2,2,90,90,12,Wargames,N/A
ChickenFoot,5.534,5.98,169,N/A,1986,1.28,1,8,45,45,8,Abstract,N/A
Clutch Baseball,5.534,8.34,69,N/A,2017,3.00,2,2,30,60,13,N/A,N/A
Gonza Index,5.534,6.99,53,N/A,2023,2.00,1,5,20,60,14,N/A,N/A
AK47 Republic,5.534,7.43,41,N/A,1997,1.60,2,6,120,120,12,Wargames,N/A
Sherlock: Das Collier,5.534,7.26,42,N/A,2022,0.00,1,8,60,60,12,N/A,N/A
Magic: The Gathering – Duel Decks: Mind vs. Might,5.534,6.93,61,N/A,2017,3.00,2,2,N/A,N/A,13,N/A,N/A
Magic Keys,5.534,7.04,46,N/A,2022,1.00,2,4,20,30,6,N/A,N/A
Diesel Demolition Derby,5.534,5.99,152,N/A,2017,1.75,2,6,20,30,14,N/A,N/A
Anno Domini: America,5.534,7.03,44,N/A,2009,1.40,2,8,30,30,10,N/A,N/A
Romance of the Nine Empires,5.534,6.2,153,N/A,2013,3.27,2,5,45,45,12,Customizable,N/A
Di Renjie,5.534,6.01,137,N/A,2012,1.75,2,6,30,30,10,Strategy,N/A
Paras,5.534,7.31,42,N/A,2019,1.50,2,4,20,40,8,N/A,N/A
Command Decision III,5.534,7.14,51,N/A,1998,3.67,2,2,360,360,15,Wargames,N/A
Race Day,5.534,6.03,173,N/A,2005,1.50,2,12,30,90,10,Customizable,N/A
Rakieta imprezowa,5.534,6.82,53,N/A,2019,1.00,3,15,20,30,10,N/A,N/A
Attandarra,5.534,6.49,71,N/A,2009,2.83,2,4,60,60,12,N/A,N/A
Singapore,5.534,6.42,106,N/A,1984,2.42,2,2,120,120,12,Wargames,N/A
Attakube,5.534,6.57,66,N/A,2001,2.20,2,2,20,20,8,Abstract,N/A
Dungeons & Dragons Dice Masters: Trouble in Waterdeep Campaign Box,5.534,7.26,40,N/A,2019,0.00,2,2,15,60,14,N/A,N/A
Justice League: Dawn of Heroes,5.534,6.44,117,N/A,2017,2.33,2,6,30,90,12,N/A,N/A
Retrograde,5.534,6.83,62,26.95,2023,1.50,1,4,25,35,8,Family,N/A
Runaljod: The sound of the runes,5.534,7.17,75,N/A,2019,2.00,1,4,90,120,14,N/A,N/A
