Title,Geek Rating,Avg rating,Num of voters,Price,Year,Complexity,Min players,Max players,Min time,Max time,Age,Type 1,Type 2
Nobody is Perfect 2,5.557,6.97,81,N/A,1995,1.86,3,10,60,60,14,N/A,N/A
Mini Park,5.557,6.11,217,N/A,2017,1.67,2,5,15,25,8,N/A,N/A
Warhammer Underworlds: Nethermaze,5.557,8.22,49,N/A,2022,3.00,2,4,30,30,N/A,N/A,N/A
The World at War,5.557,6.41,174,N/A,1990,3.29,2,5,180,180,12,Wargames,N/A
No Honor Among Thieves,5.557,7.21,86,N/A,2018,2.67,3,6,90,120,13,N/A,N/A
"North Africa: Afrika Korps vs Desert Rats, 1940-42",5.557,7.77,64,N/A,2021,3.00,1,2,120,600,N/A,Wargames,N/A
Saigo no Kane,5.557,6.45,135,N/A,2008,3.08,2,4,60,60,12,N/A,N/A
FrachtExpress,5.557,6.28,156,N/A,2001,2.25,3,4,45,45,10,N/A,N/A
The Ghosts of Castle Turnwall,5.557,6.53,123,N/A,2019,1.00,2,4,20,20,7,N/A,N/A
Wizard Kittens,5.557,6.24,244,34.98,2020,1.40,2,4,15,30,7,N/A,N/A
Star Wars: Battle of Hoth,5.557,5.98,279,N/A,2012,1.15,2,4,15,15,8,Family,N/A
SCOPE U-boot,5.557,7.45,73,N/A,2023,2.00,2,2,10,15,12,Wargames,N/A
Falsche FuFFziger,5.557,6.47,128,N/A,1994,2.55,3,6,90,90,12,N/A,N/A
Magic: The Gathering – Game Night 2019,5.557,7.31,71,N/A,2019,3.00,2,5,10,120,13,N/A,N/A
Perpetual-Motion Machine,5.557,6.09,221,N/A,2010,1.64,2,4,45,45,8,Family,N/A
Mini DiverCity,5.557,6.33,199,N/A,2018,1.50,1,7,15,20,8,N/A,N/A
Art Gallery,5.557,7.61,159,N/A,2023,2.13,2,6,45,75,10,N/A,N/A
Goblin's Breakfast,5.557,6.9,146,N/A,2015,1.47,2,6,15,15,8,Family,Party
Sherwood,5.557,6.28,187,N/A,2005,2.27,2,4,60,60,9,N/A,N/A
Medieval,5.557,6.48,136,N/A,2018,2.40,1,6,90,180,12,Wargames,N/A
The Battle of Five Armies,5.557,6.57,116,N/A,1984,2.77,2,2,150,150,12,Wargames,N/A
Shipwrights of the North Sea: Redux,5.557,7.84,54,N/A,2024,2.33,1,5,60,80,13,N/A,N/A
Thinking Man's Golf,5.557,6.13,232,N/A,1966,1.78,1,4,45,45,N/A,N/A,N/A
18Ruhr,5.557,7.67,52,N/A,2012,4.00,3,6,300,300,N/A,Strategy,N/A
Electronic Talking Mystery Mansion,5.557,6.4,198,N/A,1995,1.40,2,4,45,45,8,N/A,N/A
Dirigible Disaster,5.557,7.04,102,N/A,2013,1.83,2,5,20,40,8,Family,N/A
Switching Tracks,5.557,6.5,121,N/A,2015,2.36,2,5,60,60,10,N/A,N/A
Black Friday,5.557,7.38,68,N/A,2023,2.57,2,5,45,60,12,N/A,N/A
Platoon Commander Deluxe: The Battle of Kursk,5.557,7.68,67,N/A,2018,3.00,2,2,N/A,N/A,N/A,Wargames,N/A
Finding Atlantis,5.557,6.84,105,29.99,2022,2.17,1,4,40,100,13,N/A,N/A
Ars Mysteriorum,5.557,6.35,152,N/A,2005,3.05,3,5,90,120,12,Strategy,N/A
Bear Down!,5.557,6.57,122,N/A,2019,1.50,2,4,20,20,6,N/A,N/A
CardFight!! Vanguard,5.557,6.66,182,N/A,2011,2.80,2,2,20,20,N/A,Customizable,N/A
LED: Lógica – Estrategia – Deducción,5.557,7.39,68,N/A,2013,1.83,2,4,45,45,10,N/A,N/A
"Hastings, 1066",5.557,6.7,117,N/A,1987,2.82,2,2,300,300,12,Wargames,N/A
Spring Rally,5.557,6.37,148,N/A,2018,1.50,3,5,20,30,7,N/A,N/A
Ronin: Skirmish Wargames in the Age of the Samurai,5.557,7.38,83,N/A,2013,2.25,2,2,N/A,N/A,12,N/A,N/A
