Title,Geek Rating,Avg rating,Num of voters,Price,Year,Complexity,Min players,Max players,Min time,Max time,Age,Type 1,Type 2
Paperback Adventures,5.953,7.76,525,N/A,2022,2.70,1,2,50,150,14,Family,N/A
B-17 Flying Fortress Leader,5.953,8.1,537,72.03,2017,3.43,1,1,30,120,12,Wargames,N/A
Mystic Market,5.953,7.06,920,22.53,2019,1.67,2,4,30,45,10,Family,N/A
Dungeon Command: Curse of Undeath,5.953,7.47,695,N/A,2012,2.52,2,2,90,90,12,Customizable,N/A
The Castle of the Devil,5.953,6.42,2177,N/A,2010,1.97,4,8,20,40,10,Party,Strategy
Marvel Heroes,5.953,6.37,2481,N/A,2006,3.07,2,4,120,120,12,Thematic,N/A
Rory's Story Cubes,5.953,6.24,3775,N/A,2005,1.11,1,12,20,20,6,Family,Party
Rush & Bash,5.953,6.78,1166,N/A,2015,1.48,2,6,30,30,7,Family,N/A
Galactic Emperor,5.953,6.59,1430,N/A,2008,2.90,3,6,90,90,12,Strategy,Thematic
Conflict of Heroes: Guadalcanal – The Pacific 1942,5.952,8.07,475,90.00,2016,3.03,2,4,60,60,12,Wargames,N/A
Battlefleet Gothic,5.952,7.06,961,N/A,1999,2.91,2,4,180,180,12,Thematic,Wargames
The Age of Atlantis,5.952,7.39,681,N/A,2022,3.38,1,4,90,90,14,N/A,N/A
Trekking the National Parks,5.952,6.93,1023,49.95,2014,1.66,2,6,30,60,8,Family,N/A
WildLife,5.952,6.63,1366,N/A,2002,3.07,2,6,60,120,10,Strategy,N/A
Electropolis,5.952,7.3,678,N/A,2019,2.42,2,4,50,70,12,N/A,N/A
Beasty Bar: New Beasts in Town,5.952,7.01,866,N/A,2015,1.82,2,4,20,20,8,Family,N/A
Flames of War: The World War II Miniatures Game,5.951,7.11,906,22.98,2002,3.31,2,2,120,120,14,Wargames,N/A
Fight for Olympus,5.951,6.69,1319,29.99,2016,2.11,2,2,30,30,12,Strategy,N/A
Duel in the Dark,5.951,6.63,1433,N/A,2007,2.49,1,2,45,45,10,Strategy,Wargames
Tiny Epic Galaxies BLAST OFF!,5.951,7.34,686,11.99,2020,1.83,2,4,30,45,9,N/A,N/A
Cosmoctopus,5.951,7.46,688,39.99,2023,2.13,1,4,60,90,10,Strategy,N/A
Fast Flowing Forest Fellers,5.951,6.5,1632,54.96,2008,1.53,2,5,30,30,8,Family,N/A
Plums,5.951,6.57,1464,N/A,2015,1.80,3,5,30,40,8,Family,N/A
Who Goes There?,5.951,7.21,944,N/A,2018,2.93,3,4,110,110,14,Thematic,N/A
Byzanz,5.951,6.64,1337,N/A,2008,1.67,3,6,45,45,8,Family,N/A
Ascension: Dawn of Champions,5.951,7.32,729,N/A,2015,2.25,1,4,30,30,13,Strategy,N/A
RAF,5.951,7.39,662,N/A,1986,3.12,1,1,180,180,12,Wargames,N/A
España 1936,5.951,7.28,725,145.39,2007,2.81,2,2,180,180,14,Wargames,N/A
Death Valley,5.951,6.85,1035,N/A,2021,1.94,1,2,15,15,8,Strategy,N/A
New England,5.951,6.47,1834,40.98,2003,2.47,3,4,90,90,12,Strategy,N/A
