Title,Geek Rating,Avg rating,Num of voters,Price,Year,Complexity,Min players,Max players,Min time,Max time,Age,Type 1,Type 2
Los Muertos No Hablan,5.52,6.28,70,N/A,2017,1.00,3,6,25,25,10,N/A,N/A
Zombie Life,5.52,6.73,39,N/A,2020,1.00,3,6,15,15,7,N/A,N/A
Manipulate,5.52,7.95,60,N/A,2018,1.60,3,6,60,150,13,Strategy,N/A
Salta,5.52,6.59,35,N/A,1899,2.67,2,2,50,50,10,Abstract,N/A
Situation 7,5.52,6.14,63,N/A,1969,1.00,2,4,20,20,8,N/A,N/A
Reign,5.52,5.92,86,N/A,2020,1.67,2,4,30,45,8,N/A,N/A
Eternal Kings,5.52,8.08,32,N/A,2019,0.00,2,2,60,60,12,N/A,N/A
Escape from the Museum,5.52,6.43,49,N/A,2021,2.00,1,99,45,45,12,N/A,N/A
Castle Danger,5.52,6.58,43,N/A,2002,3.67,2,2,30,30,10,Abstract,N/A
The Smog Riders: Dimensions of Madness,5.52,6.76,50,N/A,2017,2.50,2,4,60,90,14,N/A,N/A
Disney Happiest Day Game,5.52,6.95,36,23.70,2022,1.50,2,6,20,20,5,N/A,N/A
Wonky: The Unstable Adult Party Game,5.52,6.71,34,N/A,2016,1.00,2,99,10,10,18,N/A,N/A
Treasure Fleet,5.52,6.1,65,N/A,2006,1.60,2,5,30,30,8,N/A,N/A
Long Short,5.52,6.32,49,N/A,1982,1.75,2,6,60,60,12,N/A,N/A
Fluxx,5.52,5.75,331,N/A,2012,1.40,2,6,5,20,8,N/A,N/A
"The Battle of Tours, 732 A.D.",5.52,6.52,40,N/A,2012,1.50,2,2,120,120,N/A,Wargames,N/A
Cinq-O,5.52,5.69,291,N/A,2003,1.07,1,6,10,10,7,Family,N/A
Nomads of Arabia: The Wandering Herds Game,5.52,6.04,86,N/A,2006,2.20,3,6,45,45,10,N/A,N/A
GobbleStones,5.52,5.88,136,N/A,2015,1.75,2,4,30,30,10,N/A,N/A
Koi Garden,5.52,6.29,67,N/A,2021,2.00,2,4,20,30,7,N/A,N/A
Alien Petshop,5.52,7.39,38,N/A,2022,1.50,2,4,30,90,11,N/A,N/A
Star Wars: Attack of the Clones Card Game,5.52,5.86,122,N/A,2002,1.20,2,5,45,45,8,Family,N/A
Black Gold (Texas Tea),5.52,6.59,50,N/A,1990,2.20,2,2,180,180,12,Wargames,N/A
Trending Kittens,5.52,7.41,38,N/A,2020,1.50,2,4,15,30,6,N/A,N/A
Qui ose gagne,5.52,6.7,38,N/A,2018,2.29,1,1,30,90,10,Wargames,N/A
KOZO,5.52,6.79,33,N/A,2016,1.00,2,6,15,30,8,Abstract,N/A
The Awful Orphanage,5.52,6.15,102,N/A,2019,2.00,1,6,40,90,14,N/A,N/A
Safe Return Doubtful,5.52,6.15,62,N/A,1996,2.00,1,5,60,60,N/A,N/A,N/A
Snippets,5.52,7.04,35,N/A,2016,0.00,2,8,45,60,12,N/A,N/A
You Must Be an Idiot!,5.52,5.72,220,N/A,2005,1.42,3,6,45,45,12,Party,N/A
Elemental Rift,5.52,6.17,71,N/A,2008,2.20,2,4,30,30,9,N/A,N/A
Scotland Yard: Tokyo,5.52,6.29,48,N/A,2014,1.75,2,6,45,45,10,N/A,N/A
Emojito!,5.52,5.87,164,N/A,2016,1.00,2,14,30,30,7,N/A,N/A
Med andra ord,5.52,5.93,154,N/A,2001,1.22,4,8,20,20,10,N/A,N/A
Sushi War: All You Can Hit!,5.52,6.61,122,N/A,2017,1.50,2,5,20,45,7,N/A,N/A
Round-Up,5.52,6.41,43,N/A,1991,1.33,1,8,30,30,5,Children's,N/A
Medieval Conspiracy,5.52,6.4,55,N/A,2015,2.50,2,6,240,240,14,Strategy,N/A
Super Giant Monster Showdown,5.52,6.02,92,N/A,1999,2.08,2,9,60,60,10,N/A,N/A
Miss Monster,5.52,6.31,51,N/A,2005,1.25,3,4,40,40,7,N/A,N/A
TimeLine,5.52,5.76,215,N/A,2003,2.04,2,5,10,10,10,Abstract,N/A
Corona,5.52,6.3,60,N/A,1974,2.33,2,10,45,45,12,Abstract,N/A
Rocroi: 19 May 1643 – The End of Spanish Ascendancy,5.52,6.8,30,N/A,1976,2.00,1,2,120,120,12,Wargames,N/A
Shapeshifters,5.52,6.08,80,N/A,1991,1.57,2,4,60,60,10,Thematic,Wargames
Clue II: Murder in Disguise VCR Mystery Game,5.52,6.11,93,N/A,1987,2.30,2,6,60,60,13,N/A,N/A
In Tenebris Lux,5.52,6.91,64,N/A,2017,2.00,1,4,60,60,13,N/A,N/A
Triumph & Fall of the Desert Fox,5.52,6.65,40,N/A,1998,2.83,1,2,120,120,12,Wargames,N/A
Gnomi,5.52,6.28,55,N/A,2017,1.25,2,6,10,10,12,N/A,N/A
Kharkov 1943,5.52,6.71,39,N/A,1999,3.14,2,2,120,120,12,Wargames,N/A
Decision: Iraq,5.52,6.54,38,N/A,2013,2.33,1,2,240,240,14,Wargames,N/A
Fire,5.52,6.04,81,N/A,1996,1.13,2,5,10,20,6,N/A,N/A
All Rise,5.52,8.23,38,N/A,2021,1.00,3,10,20,45,14,N/A,N/A
Varmints!,5.52,8.01,30,N/A,2023,2.00,2,2,15,30,10,N/A,N/A
Salem Church: East of Chancellorsville,5.52,6.68,39,N/A,2013,2.33,2,2,60,60,12,Wargames,N/A
Faulpelz,5.52,5.92,88,N/A,2014,2.00,2,4,30,30,8,N/A,N/A
Shattered States,5.52,6.44,48,N/A,1990,2.29,2,6,120,120,N/A,Wargames,N/A
Hack & Slash,5.52,6.42,57,N/A,2021,1.00,3,6,20,20,10,N/A,N/A
Kámen – Zbraně – Papír,5.52,6.2,75,N/A,2007,2.00,2,4,45,45,10,N/A,N/A
Borodino '41,5.52,6.21,60,N/A,1995,3.25,2,2,300,300,N/A,Wargames,N/A
Towers of the Sun,5.52,7.21,32,N/A,2023,2.50,2,4,20,60,10,N/A,N/A
Red Army: The Destruction of Army Group Center,5.52,6.2,71,N/A,1982,2.29,2,2,360,360,12,Wargames,N/A
New Orleans Big Band,5.52,5.82,142,N/A,1990,1.80,3,6,90,90,10,N/A,N/A
The High Kings of Tara,5.52,6.27,53,N/A,1998,1.89,2,4,30,30,10,Abstract,N/A
Kids of London,5.52,6.46,41,N/A,2017,2.00,2,5,10,10,8,N/A,N/A
Παλέρμο: Το Μεγάλο Ξεκαθάρισμα,5.52,6.78,40,N/A,2013,1.00,7,20,30,30,10,N/A,N/A
War of 1812,5.52,6.74,38,N/A,2001,3.00,2,2,240,240,12,Wargames,N/A
Clue Express,5.52,5.85,150,20.99,2008,1.55,3,4,20,20,8,Family,N/A
Henry V,5.52,6.28,47,N/A,1993,2.80,1,2,N/A,N/A,12,Wargames,N/A
Dune,5.52,5.74,359,N/A,1984,2.16,2,4,90,90,10,Strategy,Thematic
"1918: Operation Michel, Germany's Last Chance in the West",5.52,6.4,58,N/A,1972,2.31,2,2,180,180,12,Wargames,N/A
Rory's Story Cubes: Heroes,5.52,6.62,50,N/A,2019,0.00,1,12,20,20,6,N/A,N/A
Magia Cum Laude,5.52,6.82,38,N/A,2017,2.50,2,6,45,60,8,N/A,N/A
Peruke,5.52,6.76,42,N/A,2019,1.00,2,4,30,30,N/A,N/A,N/A
Matanga!,5.52,6.72,35,N/A,2009,1.50,2,5,20,25,8,N/A,N/A
Kathai,5.52,5.75,172,N/A,2000,1.76,3,5,45,45,10,N/A,N/A
Dali The Fox,5.52,6.27,70,N/A,2020,1.00,2,4,10,15,5,N/A,N/A
Age of Chivalry,5.52,6.16,62,N/A,1992,1.86,1,2,120,120,12,Wargames,N/A
