Title,Geek Rating,Avg rating,Num of voters,Price,Year,Complexity,Min players,Max players,Min time,Max time,Age,Type 1,Type 2
Die Codeknacker,5.502,5.65,31,N/A,2006,1.40,2,4,15,15,6,N/A,N/A
Army of Darkness,5.502,5.64,100,N/A,1993,1.44,1,8,120,120,12,N/A,N/A
Bad Doctor,5.502,5.67,58,N/A,2018,1.50,2,4,30,40,10,N/A,N/A
U-Boat,5.502,5.75,82,N/A,1959,2.18,2,6,30,30,12,Wargames,N/A
Страдающее средневековье (Medieval Suffering),5.502,5.7,200,N/A,2020,1.57,3,6,30,40,18,N/A,N/A
Drinkopoly,5.502,5.48,31,N/A,2014,1.00,1,69,N/A,N/A,18,N/A,N/A
Busine$$ GO,5.502,6.29,32,N/A,1996,1.75,2,5,60,60,12,N/A,N/A
Monopoly: Klingon Edition,5.502,6.0,32,N/A,2011,2.50,2,6,N/A,N/A,8,N/A,N/A
Central Pacific,5.502,5.65,30,N/A,2006,2.00,2,4,45,45,10,N/A,N/A
Fackel+Keule,5.502,6.17,38,N/A,2007,1.50,3,5,25,25,N/A,N/A,N/A
Plutôt mort que Perse !,5.502,5.88,34,N/A,2003,2.45,2,2,120,120,12,Wargames,N/A
Treasure Falls,5.502,5.55,171,N/A,2004,1.00,2,4,10,10,5,Children's,Family
Festival,5.502,5.62,39,N/A,2007,1.40,4,5,30,30,N/A,N/A,N/A
Odin's Table,5.502,5.71,103,N/A,2010,1.73,2,2,20,20,10,N/A,N/A
Tunebaya,5.502,5.61,40,N/A,2005,1.17,4,8,30,30,12,N/A,N/A
Dear Leader,5.502,6.06,48,N/A,2016,1.00,5,9,5,60,13,N/A,N/A
Streifen Toni,5.502,5.61,41,N/A,2012,1.25,2,5,15,15,4,N/A,N/A
Six,5.502,5.53,115,N/A,2008,1.00,2,5,6,6,8,N/A,N/A
Ostfriesisches Schafe-Schubsen,5.502,5.6,45,N/A,2011,1.00,3,8,30,30,10,N/A,N/A
Schwarzmarkt,5.502,5.61,96,N/A,1996,1.58,3,5,45,45,12,N/A,N/A
Atlas: Enchanted Lands,5.502,5.59,98,N/A,2017,1.33,2,4,20,20,8,N/A,N/A
War: Império Romano,5.502,5.63,122,N/A,2007,2.18,3,4,120,120,10,Wargames,N/A
Stockers!,5.502,5.49,53,N/A,1995,1.33,3,6,90,90,12,N/A,N/A
Postcard Cthulhu,5.502,5.83,41,N/A,2014,1.67,1,6,20,20,10,N/A,N/A
Grand Army of the Republic,5.502,5.9,50,N/A,1988,2.40,2,4,120,420,12,Wargames,N/A
12 Gangsters,5.502,5.78,33,N/A,2020,1.00,3,6,20,20,8,N/A,N/A
Whack a Catgirl,5.502,5.56,160,N/A,2007,1.19,2,5,30,30,14,Family,Thematic
"Tito and his Partisan Army: Yugoslavia, 1941-45",5.502,5.66,162,N/A,1980,2.68,2,2,120,120,12,Wargames,N/A
The Isle of Pan,5.502,5.72,86,N/A,2019,2.33,2,4,30,45,8,N/A,N/A
Scattergories: Bible Edition,5.502,5.46,72,N/A,2000,1.86,2,4,45,45,8,N/A,N/A
Speculate,5.502,5.54,71,N/A,1972,2.00,2,5,60,60,10,N/A,N/A
Human Interface: Be a Better Human,5.502,6.35,177,N/A,2018,2.71,1,5,60,90,14,N/A,N/A
Historical Conquest: The Card Game,5.502,7.01,32,N/A,2013,2.40,2,6,30,30,7,N/A,N/A
ShutterBug,5.502,5.58,69,N/A,2017,1.25,2,6,20,40,8,N/A,N/A
Emperor's First Battles,5.502,5.64,51,N/A,1995,2.33,1,2,N/A,N/A,12,Wargames,N/A
LEGO Champion,5.502,5.55,87,N/A,2011,1.00,3,8,30,30,7,N/A,N/A
Pass the Bomb Card Game,5.502,5.75,35,N/A,2010,1.00,2,5,30,30,8,N/A,N/A
Chez Guevara,5.502,5.55,209,N/A,2006,1.59,2,5,45,60,12,N/A,N/A
Bailen,5.502,5.89,35,N/A,1981,2.25,2,2,120,120,N/A,Wargames,N/A
Canossa,5.502,5.65,38,N/A,2006,1.67,2,4,30,30,10,Abstract,N/A
Tuf-abet,5.502,5.61,38,N/A,1969,1.43,2,4,45,45,8,N/A,N/A
Quest for the Antidote,5.502,6.1,112,N/A,2017,1.00,2,6,45,60,13,N/A,N/A
High Stakes,5.502,5.96,31,N/A,1974,3.00,2,6,90,90,12,N/A,N/A
The Princess Bride: As You Wish,5.502,5.82,59,N/A,2015,1.17,2,6,30,30,10,N/A,N/A
Trivial Pursuit: Star Wars – Bite Size,5.502,5.5,56,N/A,2005,1.60,2,6,N/A,N/A,12,N/A,N/A
"MacArthur: The Road to Bataan, Dec 1941 - Jan 1942",5.502,5.86,46,N/A,1985,2.25,2,2,120,120,12,Wargames,N/A
Exit,5.502,5.72,70,N/A,1983,1.50,2,2,10,10,8,Abstract,N/A
T.E.G. II,5.502,5.88,57,N/A,1982,2.60,2,6,120,120,N/A,Wargames,N/A
Spline,5.502,5.79,35,N/A,2011,1.00,2,2,10,10,6,Abstract,N/A
Launchpad 23,5.502,5.57,58,N/A,2011,1.60,2,4,15,15,N/A,N/A,N/A
Dingbats,5.502,5.61,39,N/A,2003,1.00,2,2,N/A,N/A,10,N/A,N/A
Asia Crossroads: The Great Game,5.502,5.83,45,N/A,2003,2.75,2,2,120,120,12,Wargames,N/A
Rommel y Montgomery,5.502,5.7,50,N/A,1982,2.50,2,4,90,90,12,Wargames,N/A
Desert War: Tactical Warfare in North Africa,5.502,5.69,54,N/A,1973,3.13,2,4,120,180,12,Wargames,N/A
Reanimator,5.502,5.89,36,49.95,2018,1.00,1,4,45,90,14,N/A,N/A
Lokus,5.502,5.58,80,N/A,2012,1.67,3,5,30,30,10,N/A,N/A
OlymPeak,5.502,5.69,36,N/A,2011,1.75,2,6,30,30,8,N/A,N/A
Scattergories Junior,5.502,5.58,92,N/A,1989,1.25,2,4,10,10,8,Children's,N/A
U.F.O.s,5.502,5.6,46,N/A,1992,1.71,3,6,45,45,10,N/A,N/A
Memorinth,5.502,5.64,81,N/A,2020,1.20,2,4,15,30,6,N/A,N/A
