Title,Geek Rating,Avg rating,Num of voters,Price,Year,Complexity,Min players,Max players,Min time,Max time,Age,Type 1,Type 2
Entenrallye,5.515,5.93,80,N/A,1988,1.75,2,6,60,60,10,N/A,N/A
Mechwarrior Solaris VII,5.515,6.39,41,N/A,2007,1.00,2,8,20,20,12,N/A,N/A
Tan-tan Caravan,5.515,5.97,65,N/A,2019,1.80,2,4,30,30,8,N/A,N/A
Candy Match,5.515,5.9,73,N/A,2017,1.00,2,6,10,20,8,Family,N/A
Sailorman Dice,5.515,6.46,34,N/A,2022,1.67,2,4,15,25,10,N/A,N/A
Territories,5.515,6.24,47,N/A,2007,1.25,2,2,10,10,8,Abstract,N/A
Film Frenzy,5.515,6.49,35,N/A,2003,1.00,2,5,N/A,N/A,N/A,N/A,N/A
Silver Mine,5.515,5.92,65,N/A,1992,1.60,2,6,30,45,7,N/A,N/A
Angels and Devils,5.515,6.58,30,N/A,2023,2.00,3,4,30,45,N/A,N/A,N/A
1001,5.515,6.37,40,N/A,1900,2.00,2,4,60,60,12,N/A,N/A
Vikingatid,5.515,5.95,71,N/A,1997,3.30,2,6,300,300,12,Wargames,N/A
11,5.515,6.65,30,N/A,2011,2.00,2,2,40,40,6,Abstract,N/A
Faux•Cabulary,5.515,5.77,203,N/A,2011,1.11,3,7,20,30,13,N/A,N/A
VeloCity,5.515,5.71,137,N/A,2010,2.00,3,7,45,45,8,Family,N/A
Nin-Gonost,5.515,6.78,32,N/A,2004,3.14,1,2,45,45,12,N/A,N/A
The Cleaner,5.515,6.66,32,N/A,2018,2.00,1,1,45,60,14,N/A,N/A
Prince's Gambit,5.515,6.68,31,N/A,2018,2.00,6,8,30,60,18,N/A,N/A
Stupiduel,5.515,6.07,82,N/A,2004,1.22,2,8,90,90,12,N/A,N/A
Upkeep,5.515,6.58,39,N/A,2020,2.67,1,4,30,60,6,N/A,N/A
Pirate Box,5.515,6.34,36,N/A,2021,1.00,1,4,15,20,8,N/A,N/A
"The Battle of Moscow: The German Drive on Moscow, 1941",5.515,6.25,52,N/A,1970,2.13,2,2,120,120,12,Wargames,N/A
De Bull Run à Appomatox,5.515,6.73,33,N/A,2001,2.67,2,2,120,120,12,Wargames,N/A
The Oregon Trail Game: Journey to Willamette Valley,5.515,5.71,295,23.99,2018,2.25,2,4,30,60,13,N/A,N/A
Fox on the Run,5.515,7.22,31,N/A,2020,1.50,2,6,10,20,10,N/A,N/A
Anzio Beachhead,5.515,5.83,102,N/A,1969,2.86,2,2,60,60,12,Wargames,N/A
"First Blood: Second Marne, 15 July 1918",5.515,6.1,56,N/A,2008,2.00,2,2,N/A,N/A,N/A,Wargames,N/A
Pressure Point,5.515,6.06,71,N/A,2010,1.14,3,8,40,60,10,N/A,N/A
Dry Gulch Junction,5.515,6.07,53,N/A,2008,2.22,2,4,45,45,8,N/A,N/A
Schnapp den Sack,5.515,5.89,82,N/A,2016,1.00,2,5,15,15,8,N/A,N/A
Seefahrt ins Ungewisse,5.515,6.45,33,N/A,2021,3.25,1,4,75,75,12,N/A,N/A
Impact City Roller Derby,5.515,6.0,66,27.01,2012,2.57,2,4,120,120,12,Strategy,N/A
Take a Guess!,5.515,7.25,39,N/A,2016,1.00,3,6,30,30,12,N/A,N/A
Djinn,5.515,6.26,52,N/A,2018,1.50,2,4,40,40,10,N/A,N/A
Glyph,5.515,6.28,49,N/A,2018,2.80,2,6,90,120,12,N/A,N/A
Iron Man 2: Game of War,5.515,6.5,37,N/A,2010,1.00,2,2,30,30,6,N/A,N/A
Invazions,5.515,6.5,35,N/A,2014,3.00,2,4,45,45,14,N/A,N/A
