Title,Geek Rating,Avg rating,Num of voters,Price,Year,Complexity,Min players,Max players,Min time,Max time,Age,Type 1,Type 2
Zathura: Adventure Is Waiting,5.422,4.52,141,N/A,2005,1.08,2,4,30,45,7,N/A,N/A
Space Marine: The Board Game,5.422,3.33,67,N/A,2023,2.50,2,2,30,60,12,Wargames,N/A
Maxi Bour$e,5.422,4.51,153,N/A,1987,2.23,2,6,90,90,10,N/A,N/A
Monopoly: Pokémon,5.422,5.39,657,229.99,1995,1.94,2,6,120,120,8,Children's,N/A
Transformers 3D Battle Card Game,5.422,3.47,71,N/A,2007,1.15,2,2,30,30,8,N/A,N/A
Adverteasing,5.422,4.33,144,N/A,1988,1.36,2,8,30,30,14,Party,N/A
Con Sonar!,5.422,3.41,72,N/A,2011,1.50,2,6,10,30,12,N/A,N/A
Hidden Conflict,5.422,4.29,129,19.00,2005,1.73,2,6,30,30,10,Strategy,N/A
Lone Wolf and Cub Game,5.421,4.29,145,N/A,1989,1.77,1,2,60,60,12,N/A,N/A
くまきちファミリーの最高のティータイム (Kmakici Family's Greatest Teatime),5.421,2.96,61,N/A,2021,1.00,2,5,15,20,5,N/A,N/A
Phase 10 Dice,5.421,5.33,1096,N/A,1993,1.14,1,8,30,30,8,Family,N/A
Magikus,5.421,4.69,198,N/A,2009,1.00,2,4,10,10,6,Children's,N/A
X-Men Trading Card Game,5.421,4.14,119,N/A,2000,1.44,2,2,20,20,10,Customizable,N/A
Zaxxon,5.421,4.34,146,N/A,1982,1.18,2,2,30,30,7,Children's,N/A
The Shining: Escape from the Overlook Hotel,5.421,4.08,109,N/A,2020,1.00,1,99,120,120,17,N/A,N/A
Zombie! Run for Your Lives!,5.42,4.48,160,N/A,2012,1.14,3,7,15,15,10,N/A,N/A
I Hate Zombies,5.42,5.16,550,N/A,2015,1.03,2,12,15,15,6,Party,N/A
Bottlecap Vikings,5.42,5.11,487,16.47,2015,1.68,2,4,30,60,10,N/A,N/A
Ninja Galaxy,5.42,3.35,72,N/A,2006,1.50,2,4,30,30,N/A,N/A,N/A
Topple,5.419,5.15,504,N/A,1983,1.15,2,4,20,20,6,Children's,Family
The Big Bang Theory: Rock! Paper! Scissors! Lizard! Spock! Dice Game,5.419,3.7,88,N/A,N/A,1.17,2,8,30,30,10,N/A,N/A
Robo Champ,5.418,4.59,188,N/A,2009,1.08,2,3,10,10,6,Children's,N/A
Shit Happens,5.418,5.38,1336,N/A,2016,1.07,2,8,20,60,18,Party,N/A
Escape from the Grand Hotel: The Escape Room Game,5.417,3.82,111,N/A,2018,1.50,4,8,90,90,12,N/A,N/A
Game of the States,5.417,4.73,207,N/A,1940,1.39,2,4,30,30,8,Children's,Family
The Ladybug Game,5.417,4.52,182,N/A,2004,1.05,2,4,20,20,3,Children's,N/A
Monopoly: Nintendo,5.417,4.94,292,N/A,2006,1.64,2,6,60,60,8,N/A,N/A
TKO,5.416,4.83,259,10.18,2015,1.00,2,2,5,5,8,N/A,N/A
Doggie Doo,5.416,4.59,192,N/A,2010,1.00,2,5,20,20,4,Children's,N/A
Dungeonville,5.416,4.9,309,59.99,2004,1.39,2,5,60,60,10,Thematic,N/A
Secret Labyrinth,5.416,4.83,276,N/A,1998,1.44,2,4,30,30,10,Children's,N/A
All Wound Up,5.416,4.94,313,N/A,2004,1.28,2,4,60,60,8,Family,N/A
Elfer raus!,5.415,5.25,698,N/A,1925,1.11,2,6,30,30,7,Family,N/A
Pimp: The Backhanding,5.415,5.19,530,N/A,2005,1.36,2,4,15,30,18,N/A,N/A
Pack of Flies,5.415,4.93,333,N/A,2003,1.13,2,5,20,20,8,Family,N/A
Wizardology: The Game,5.414,4.52,161,N/A,2007,1.13,2,6,60,60,N/A,N/A,N/A
Funny or Die,5.414,3.6,97,19.99,2013,1.11,3,6,N/A,N/A,13,N/A,N/A
Battleships,5.413,4.69,228,N/A,1931,1.00,2,2,60,60,7,Children's,Family
Legends of the Hidden Temple,5.413,3.87,113,58.95,2017,1.25,4,12,N/A,N/A,12,N/A,N/A
Ms. Monopoly,5.413,2.51,62,16.95,2019,1.00,2,6,N/A,N/A,8,N/A,N/A
Game of Thrones: Westeros Intrigue,5.413,5.31,1285,9.99,2014,1.07,2,6,15,30,8,Family,N/A
"Rivers, Roads & Rails",5.413,5.17,612,N/A,1969,1.15,2,10,30,30,5,Children's,N/A
Nine Men's Morris,5.413,5.37,1631,N/A,-1400,1.82,2,2,20,20,6,Abstract,N/A
There's a Moose in the House,5.413,5.28,892,N/A,2004,1.03,2,5,15,15,8,Children's,N/A
I.Q. 2000,5.412,4.94,352,N/A,1984,1.60,2,6,90,90,7,Family,N/A
Teenage Mutant Ninja Turtles: Pizza Power Game,5.412,4.81,246,N/A,1987,1.25,2,4,20,20,6,N/A,N/A
Gother Than Thou,5.412,4.63,212,N/A,2000,1.15,3,5,20,20,15,Thematic,N/A
Gone Fishin',5.412,4.12,136,N/A,1890,1.00,1,4,10,10,4,Children's,N/A
Dreidel,5.412,3.91,120,11.59,1500,1.00,2,6,10,10,4,Children's,Party
Watch Ya' Mouth,5.412,4.71,242,N/A,2016,1.00,3,10,15,30,8,N/A,N/A
Taco vs. Burrito,5.412,5.1,402,19.99,2018,1.00,2,4,15,45,7,N/A,N/A
Doctor Who Collectible Card Game,5.411,3.64,100,N/A,1996,1.78,2,2,30,30,10,Customizable,N/A
The Simpsons: LOSER Takes All!,5.411,3.99,122,N/A,2001,1.33,2,6,30,30,8,N/A,N/A
UNO: All Wild!,5.411,4.59,207,N/A,2021,1.00,2,10,15,30,7,N/A,N/A
True or False,5.411,4.19,146,N/A,1994,1.50,2,6,60,60,12,N/A,N/A
Jishaku,5.411,5.01,433,N/A,2008,1.04,2,2,15,15,8,Abstract,N/A
BreaKey,5.411,1.66,49,N/A,2003,1.00,2,2,1,1,N/A,N/A,N/A
Pass the Pigs,5.41,5.44,6271,14.49,1977,1.07,2,10,30,30,8,Family,Party
