Title,Geek Rating,Avg rating,Num of voters,Price,Year,Complexity,Min players,Max players,Min time,Max time,Age,Type 1,Type 2
Brass: Birmingham,8.421,8.61,42122,79.99,2018,3.89,2,4,60,120,14,Strategy,N/A
Pandemic Legacy: Season 1,8.386,8.53,52003,49.97,2015,2.83,2,4,60,60,13,Strategy,Thematic
Gloomhaven,8.373,8.61,60334,299.99,2017,3.90,1,4,60,120,14,Strategy,Thematic
Ark Nova,8.322,8.53,37239,58.99,2021,3.74,1,4,90,150,14,Strategy,N/A
Twilight Imperium: Fourth Edition,8.241,8.61,22179,131.99,2017,4.31,3,6,240,480,14,Strategy,Thematic
Terraforming Mars,8.221,8.37,94235,78.08,2016,3.26,1,5,120,120,12,Strategy,N/A
Dune: Imperium,8.209,8.42,39812,51.43,2020,3.03,1,4,60,120,14,Strategy,N/A
Gloomhaven: Jaws of the Lion,8.189,8.47,31645,36.97,2020,3.63,1,4,30,120,14,Strategy,Thematic
War of the Ring: Second Edition,8.181,8.53,20151,74.94,2011,4.21,2,4,150,180,13,Thematic,Wargames
Star Wars: Rebellion,8.17,8.42,31127,N/A,2016,3.74,2,4,180,240,14,Thematic,N/A
Spirit Island,8.149,8.35,47679,72.99,2017,4.06,1,4,90,120,13,Strategy,N/A
Gaia Project,8.128,8.39,25835,78.99,2017,4.40,1,4,60,150,12,Strategy,N/A
Twilight Struggle,8.076,8.25,47675,56.18,2005,3.61,2,2,120,180,13,Strategy,Wargames
Through the Ages: A New Story of Civilization,8.074,8.3,30635,69.73,2015,4.44,2,4,120,120,14,Strategy,N/A
Great Western Trail,8.047,8.21,39666,49.99,2016,3.70,2,4,75,150,12,Strategy,N/A
The Castles of Burgundy,8.009,8.13,59911,49.99,2011,2.99,2,4,30,90,12,Strategy,N/A
Scythe,8.005,8.16,79932,67.33,2016,3.44,1,5,90,115,14,Strategy,N/A
7 Wonders Duel,7.972,8.1,89517,21.99,2015,2.23,2,2,30,30,10,Strategy,N/A
Eclipse: Second Dawn for the Galaxy,7.969,8.48,12128,179.99,2020,3.67,2,6,60,200,14,Strategy,N/A
Brass: Lancashire,7.962,8.19,24211,67.40,2007,3.86,2,4,60,120,14,Strategy,N/A
Nemesis,7.96,8.28,28367,177.77,2018,3.45,1,5,90,180,12,Thematic,N/A
Clank! Legacy: Acquisitions Incorporated,7.948,8.56,8743,117.99,2019,2.71,2,4,90,120,13,Thematic,N/A
A Feast for Odin,7.948,8.18,26954,96.78,2016,3.87,1,4,30,120,12,Strategy,N/A
Concordia,7.947,8.1,38920,52.92,2013,2.99,2,5,100,100,13,Strategy,N/A
Wingspan,7.915,8.06,86034,44.99,2019,2.46,1,5,40,70,10,Family,Strategy
Terra Mystica,7.911,8.07,46927,59.97,2012,3.97,2,5,60,150,12,Strategy,N/A
Arkham Horror: The Card Game,7.905,8.13,41439,23.88,2016,3.53,1,2,60,120,14,Customizable,Thematic
Lost Ruins of Arnak,7.896,8.08,39589,39.99,2020,2.91,1,4,30,120,12,Family,Strategy
Root,7.885,8.08,47351,52.99,2018,3.78,2,4,60,90,10,Strategy,Wargames
Great Western Trail: Second Edition,7.884,8.38,10625,59.83,2021,3.72,1,4,75,150,12,Strategy,N/A
Orléans,7.875,8.06,30164,54.28,2014,3.03,2,5,90,90,12,Strategy,N/A
Everdell,7.858,8.04,49806,55.00,2018,2.81,1,4,40,80,13,Family,Strategy
Mage Knight Board Game,7.856,8.09,32635,61.59,2011,4.36,1,4,60,240,14,Strategy,Thematic
Barrage,7.85,8.18,16296,N/A,2019,4.10,1,4,60,120,14,Strategy,N/A
Viticulture Essential Edition,7.85,8.0,46404,48.63,2015,2.89,1,6,45,90,13,Strategy,N/A
The Crew: Mission Deep Sea,7.847,8.19,14795,14.99,2021,2.05,2,5,20,20,10,Family,N/A
Too Many Bones,7.84,8.35,11940,159.95,2017,3.85,1,4,60,120,12,Strategy,Thematic
Food Chain Magnate,7.811,8.07,19564,112.89,2015,4.20,2,5,120,240,14,Strategy,N/A
Pax Pamir: Second Edition,7.8,8.22,12633,79.60,2019,3.84,1,5,45,120,13,Strategy,N/A
Marvel Champions: The Card Game,7.799,8.13,22160,41.99,2019,2.92,1,4,45,90,14,Customizable,N/A
Frosthaven,7.79,8.87,5702,197.19,2022,4.34,1,4,30,120,14,Strategy,Thematic
Underwater Cities,7.79,8.07,18341,59.17,2018,3.60,1,4,80,150,12,Strategy,N/A
Puerto Rico,7.786,7.92,70000,124.93,2002,3.27,3,5,90,150,12,Strategy,N/A
Caverna: The Cave Farmers,7.773,7.95,33921,67.60,2013,3.78,1,7,30,210,12,Strategy,N/A
Cascadia,7.767,7.96,32131,29.99,2021,1.83,1,4,30,45,10,Abstract,Family
Blood Rage,7.767,7.94,45427,80.22,2015,2.88,2,4,60,90,14,Strategy,N/A
Anachrony,7.761,8.08,17723,N/A,2017,4.02,1,4,30,120,15,Strategy,N/A
On Mars,7.759,8.21,11822,122.95,2020,4.67,1,4,90,150,14,Strategy,N/A
Agricola,7.758,7.88,71527,67.59,2007,3.64,1,5,30,150,12,Strategy,N/A
Crokinole,7.751,8.02,17101,170.00,1876,1.24,2,4,30,30,8,Family,N/A
Kanban EV,7.738,8.43,6835,121.49,2020,4.31,1,4,60,180,14,Strategy,N/A
Pandemic Legacy: Season 0,7.737,8.42,6977,67.38,2020,3.14,2,4,45,60,14,Strategy,Thematic
Sleeping Gods,7.737,8.26,10236,86.11,2021,3.23,1,4,60,1200,13,Thematic,N/A
Heat: Pedal to the Metal,7.736,8.09,15405,91.13,2022,2.19,1,6,30,60,10,Family,N/A
Pandemic Legacy: Season 2,7.734,8.04,16355,53.99,2017,3.25,2,4,60,60,14,Strategy,Thematic
Mansions of Madness: Second Edition,7.724,7.96,34960,98.00,2016,2.68,1,5,120,180,14,Thematic,N/A
Lisboa,7.721,8.2,10489,148.98,2017,4.59,1,4,60,120,12,Strategy,N/A
Maracaibo,7.72,8.05,15147,58.99,2019,3.90,1,4,30,120,12,Strategy,N/A
Tzolk'in: The Mayan Calendar,7.711,7.87,38212,59.95,2012,3.67,2,4,90,90,13,Strategy,N/A
Power Grid,7.708,7.82,64134,43.87,2004,3.26,2,6,120,120,12,Strategy,N/A
The Quacks of Quedlinburg,7.69,7.83,45913,39.99,2018,1.95,2,4,45,45,10,Family,N/A
Clans of Caledonia,7.689,7.95,19826,N/A,2017,3.46,1,4,30,120,12,Strategy,N/A
Le Havre,7.685,7.85,30955,N/A,2008,3.72,1,5,30,150,12,Strategy,N/A
Paladins of the West Kingdom,7.684,7.99,16704,51.14,2019,3.72,1,4,90,120,12,Strategy,N/A
Star Wars: Imperial Assault,7.682,7.97,24156,111.46,2014,3.30,1,5,60,120,14,Thematic,N/A
The Crew: The Quest for Planet Nine,7.681,7.83,39128,14.99,2019,1.96,2,5,20,20,10,Family,Strategy
The Gallerist,7.681,8.03,13979,199.95,2015,4.26,1,4,60,150,13,Strategy,N/A
Grand Austria Hotel,7.673,7.93,19585,64.99,2015,3.22,2,4,60,120,12,Strategy,N/A
Mechs vs. Minions,7.67,7.98,17089,N/A,2016,2.43,2,4,60,120,14,Strategy,Thematic
Cthulhu: Death May Die,7.668,8.17,10919,87.99,2019,2.44,1,5,90,120,14,Thematic,N/A
Android: Netrunner,7.66,7.88,29699,189.99,2012,3.40,2,2,45,45,14,Customizable,N/A
Kingdom Death: Monster,7.659,8.5,9379,849.00,2015,4.27,1,4,60,180,17,Thematic,N/A
Azul,7.646,7.76,84701,21.70,2017,1.76,2,4,30,45,8,Abstract,Family
Obsession,7.642,8.16,9630,N/A,2018,3.11,1,4,30,90,14,Strategy,Thematic
Agricola (Revised Edition),7.634,7.96,16721,67.59,2016,3.46,1,4,30,120,12,Strategy,N/A
Race for the Galaxy,7.633,7.75,54318,27.43,2007,2.99,2,4,30,60,12,Strategy,N/A
Eclipse: New Dawn for the Galaxy,7.628,7.84,28142,N/A,2011,3.70,2,6,60,180,14,Strategy,N/A
Five Tribes,7.627,7.78,40397,N/A,2014,2.85,2,4,40,80,13,Strategy,N/A
Aeon's End,7.626,7.92,19438,52.79,2016,2.81,1,4,60,60,14,Strategy,N/A
Clank!: A Deck-Building Adventure,7.624,7.79,40547,87.50,2016,2.22,2,4,30,60,12,Family,Strategy
Fields of Arle,7.609,8.04,10559,N/A,2014,3.86,1,2,60,120,13,Strategy,N/A
Teotihuacan: City of Gods,7.608,7.88,19194,49.95,2018,3.78,1,4,90,120,14,Strategy,N/A
Through the Ages: A Story of Civilization,7.607,7.85,19189,99.99,2006,4.18,2,4,120,120,12,Strategy,N/A
Beyond the Sun,7.603,7.95,13077,44.49,2020,3.13,2,4,60,120,14,Strategy,N/A
Lords of Waterdeep,7.595,7.73,54288,34.99,2012,2.45,2,5,60,120,12,Strategy,N/A
Dominant Species,7.588,7.82,20759,72.98,2010,4.04,2,6,120,240,14,Strategy,N/A
The Voyages of Marco Polo,7.588,7.79,24349,N/A,2015,3.18,2,4,40,100,12,Strategy,N/A
Robinson Crusoe: Adventures on the Cursed Island,7.585,7.75,42294,52.95,2012,3.81,1,4,60,120,14,Thematic,N/A
7 Wonders,7.583,7.69,101793,39.99,2010,2.32,2,7,30,30,10,Family,Strategy
The Search for Planet X,7.567,7.98,10791,38.99,2020,2.38,1,4,60,75,13,Strategy,N/A
Tainted Grail: The Fall of Avalon,7.559,8.11,11708,125.00,2019,3.34,1,4,60,120,14,Thematic,N/A
El Grande,7.555,7.73,27256,N/A,1995,3.03,2,5,60,120,12,Strategy,N/A
